Player,Game Week,Position,Team,League,Minutes,Rating
Pietro Terracciano,J6,GK,Fiorentina,UEFA Europa Conference League,90,6.72
Filip Jørgensen,J6,GK,Chelsea,UEFA Europa Conference League,90,6.52
Léon-Maurice Pöhls,J6,GK,Shamrock Rov,UEFA Europa Conference League,90,5.09
Veljko Ilic,J6,GK,TSC Bačka Top,UEFA Europa Conference League,90,6.52
Aleksei Ploshchadnyi,J6,GK,FC Noah,UEFA Europa Conference League,90,6.12
Adrián,J6,GK,Betis,UEFA Europa Conference League,90,7.25
Thijmen Nijhuis,J6,GK,HJK,UEFA Europa Conference League,90,6.8
Niklas Hedl,J6,GK,Rapid Wien,UEFA Europa Conference League,90,7.32
Nathan Trott,J6,GK,FC Copenhagen,UEFA Europa Conference League,90,6.41
Amir Saipi,J6,GK,Lugano,UEFA Europa Conference League,90,5.69
Neofytos Michael,J6,GK,Pafos FC,UEFA Europa Conference League,90,5.86
Maxime Delanghe,J6,GK,Cercle Brugge,UEFA Europa Conference League,90,7.13
Muhammed Şengezer,J6,GK,Başakşehir,UEFA Europa Conference League,90,7.03
Kevin Müller,J6,GK,Heidenheim,UEFA Europa Conference League,90,6.3
Lawrence Ati-Zigi,J6,GK,St. Gallen,UEFA Europa Conference League,90,6.88
Albert Posiadala,J6,GK,Molde,UEFA Europa Conference League,90,5.55
Matouš Trmal,J6,GK,Mladá Boleslav,UEFA Europa Conference League,90,5.54
Łukasz Skorupski,J23,GK,Bologna,Italian Serie A,90,7.09
Jean Butez,J23,GK,Como,Italian Serie A,90,6.24
Sławomir Abramowicz,J6,GK,Jagiellonia,UEFA Europa Conference League,90,7.58
Matevž Vidovšek,J6,GK,Olimpija,UEFA Europa Conference League,90,7.51
Jacob Rinne,J6,GK,Djurgården,UEFA Europa Conference League,90,6.74
Gabriel Kobylak,J6,GK,Legia Warsaw,UEFA Europa Conference League,90,5.14
Filip Manojlović,J6,GK,Borac Banja Luka,UEFA Europa Conference League,90,7.09
Fabiano,J6,GK,AC Omonia,UEFA Europa Conference League,90,7.43
Lukas Jungwirth,J6,GK,LASK,UEFA Europa Conference League,90,6.44
