Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
Arnaud Bodart,be BEL,GK,Standard Liège,26,1998,2,2,180,86,56
Arturo Delgado,mx MEX,GK,FC Juárez,22,2002,2,2,180,83,64
Axel Werner,ar ARG,GK,Rosario Central,29-141,1996,2,2,180,70,23
Aynsley Pears,eng ENG,GK,Blackburn,26,1998,40,40,3600,53,42
Balázs Tóth,hu HUN,GK,Blackburn,26,1997,6,6,540,73,23
Ben Killip,eng ENG,GK,Portsmouth,28,1995,2,2,180,57,81
Ben Wilson,eng ENG,GK,Coventry City,31,1992,4,4,360,60,45
Benjamin Lundt,de GER,GK,St. Louis,29-298,1995,9,9,810,52,70
Benny Díaz,mx MEX,GK,FC Juárez,25,1998,11,11,990,30,56
Blake Gillingham,us USA,GK,Houston Dynamo,22-281,2002,4,3,294,75,34
Boris Radunović,rs SRB,GK,Bari,28,1996,37,37,3311,69,50
Brad Guzan,us USA,GK,Atlanta Utd,40-313,1984,21,21,1890,36,62
Brad Stuver,us USA,GK,Austin,34-094,1991,22,22,1980,71,70
Bradley Collins,eng ENG,GK,Coventry City,27,1997,15,14,1313,23,56
Brayan Cortés,cl CHI,GK,cl Colo-Colo,30-130,1995,5,5,450,24,14
Brenno,br BRA,GK,Fortaleza,26-109,1999,1,1,90,53,38
Brian Araújo,fr FRA,GK,Gil Vicente FC,24,2000,1,1,90,39,61
Bruno Brigido,br BRA,GK,Estrela,33,1991,18,18,1575,31,44
Bruno Ferreira,br BRA,GK,Ceará,31-125,1994,6,6,513,55,42
Bruno Varela,cv CPV,GK,Vitória,29,1994,34,34,3060,42,41
C.J. dos Santos,us USA,GK,San Diego FC,24-329,2000,21,21,1890,51,44
Caio Secco,br BRA,GK,Moreirense,33,1990,5,5,447,40,25
Camilo Vargas,co COL,GK,Atlas,35,1989,31,31,2790,31,50
Carl Rushworth,eng ENG,GK,Hull City,23,2001,2,2,180,34,49
Carlos Acevedo,mx MEX,GK,Santos,28,1996,33,33,2970,31,61
Carlos Coronel,py PAR,GK,NY Red Bulls,28-202,1996,22,22,1980,65,34
Carlos Felipe Rodríguez,mx MEX,GK,UANL,35,1989,3,3,270,67,20
Carlos Lampe,bo BOL,GK,bo Bolívar,38-124,1987,1,1,90,76,59
Carlos Moreno,mx MEX,GK,Pachuca,26,1998,32,32,2880,37,71
Caíque França,br BRA,GK,Sport Recife,30-046,1995,11,11,990,38,38
Cesar López,mx MEX,GK,Atlético,24,2000,5,4,436,35,44
Cezary Miszta,pl POL,GK,Rio Ave,22,2001,26,26,2325,45,50
Chris Brady,us USA,GK,Chicago Fire,21-138,2004,16,16,1385,44,32
Cleiton Schwengber,br BRA,GK,RB Bragantino,27-334,1997,12,12,1080,55,49
Cláudio Ramos,pt POR,GK,Porto,32,1991,2,2,180,56,29
Colin Coosemans,be BEL,GK,Anderlecht,31,1992,28,28,2520,82,75
Conor Hazard,nir NIR,GK,Plymouth Argyle,26,1998,25,25,2250,60,59
Cássio,br BRA,GK,Cruzeiro,38-043,1987,14,14,1260,73,23
