Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
Elijah Morrison,eng ENG,DF,Bristol City,18,2006,3,0,39,43,18,80,70
Elijah Wynder,us USA,MF,LA Galaxy,22-131,2003,9,3,343,46,51,44,57
Elio Capradossi,ug UGA,DF,Cittadella,28,1996,16,13,1107,28,30,42,61
Eliot Matazo,be BEL,MF,Hull City,22,2002,6,4,300,88,66,56,41
Elián Giménez,ar ARG,MF,Sarmiento,21-118,2004,11,10,827,70,40,38,77
Elkin Rivero,co COL,MF,co Nacional,19-142,2006,4,1,153,44,16,31,54
Elliot Myles,wls WAL,MF,Norwich City,17,2007,3,0,45,28,14,60,24
Elliott Moore,eng ENG,DF,Oxford United,27,1997,26,24,2057,55,35,18,40
Ellis Simms,eng ENG,FW,Coventry City,23,2001,43,26,2286,42,37,37,38
Elton Kabangu,be BEL,MO,Union SG,26,1998,7,1,122,27,20,44,6
Elton Yeboah,be BEL,MF,Mechelen,19,2005,2,0,12,28,14,7,11
Elves Baldé,gw GNB,MO,Farense,24,1999,20,12,1045,44,52,48,47
Elvis Kabashi,al ALB,MF,Reggiana,30,1994,16,8,678,38,64,42,75
Elyess Dao,ma MAR,MO,Anderlecht,17,2006,2,0,5,26,8,66,25
Elías Brito,ar ARG,DF,Lanús,19-347,2005,1,0,3,44,36,52,4
Elías Báez,ar ARG,DF,San Lorenzo,20-274,2004,17,17,1458,49,70,76,70
Elías Cabrera,ar ARG,MO,Tigre,22-144,2003,15,15,1065,37,78,26,53
Elías Gómez,ar ARG,DF,ar Vélez Sarsfield,31-040,1994,22,20,1802,51,76,85,45
Elías López,ar ARG,DF,Belgrano,25-011,2000,7,3,313,63,53,65,63
Elías Már Ómarsson,is ISL,FW,NAC Breda,29,1995,32,29,2299,44,42,32,51
Elías Pereyra,ar ARG,DF,Instituto,26-154,1999,10,7,640,43,62,65,51
Elías Torres,ar ARG,FW,Aldosivi,24-114,2001,16,15,1309,67,68,61,76
Emanuel Aguilera,ar ARG,DF,Defensa y Just,36-038,1989,13,12,998,25,37,25,30
Emanuel Brítez,ar ARG,DF,Fortaleza,33-115,1992,3,3,270,60,62,49,40
Emanuel Cecchini,ar ARG,MF,San Lorenzo,28-207,1996,14,5,588,57,33,36,39
Emanuel Coronel,ar ARG,DF,Rosario Central,28-168,1997,17,13,1223,55,65,74,66
Emanuel Gularte,uy URU,DF,Puebla,26,1997,29,28,2509,48,39,44,51
Emanuel Ley,mx MEX,FW,Tijuana,18,2006,1,0,17,31,17,18,11
