Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
fr FRA,FW,Lyon,33,1991,40,28,2606,76,74,53,51
pt POR,DF,nl AZ Alkmaar,22,2001,11,11,983,32,29,18,56
ro ROU,MO,ro FCSB,30,1993,9,3,368,41,30,30,49
ro ROU,MO,ro FCSB,20,2004,5,0,133,28,25,63,69
ro ROU,DF,ro FCSB,20,2003,1,1,45,35,31,42,31
fr FRA,MO,Augsburg,26,1998,28,25,2109,64,46,46,58
ar ARG,MF,Liverpool,25,1998,43,37,3273,80,81,55,62
be BEL,MF,Roma,25,1999,30,21,1734,92,75,84,53
cl CHI,FW,Udinese,35,1988,13,6,437,32,57,42,44
br BRA,DF,Lille,24,1999,40,40,3600,58,68,54,46
cz CZE,GK,cz Slavia Prague,32,1992,2,2,180,42,50,47,37
eng ENG,DF,Tottenham,19,2005,1,0,14,22,21,19,3
eng ENG,DF,Wolves,20,2004,1,0,1,22,21,19,3
es ESP,MO,Celta Vigo,25,1999,26,14,1371,81,45,79,22
uy URU,DF,Rayo Vallecano,32,1992,16,9,833,55,70,67,70
es ESP,MF,Villarreal,28,1996,12,4,460,61,68,84,46
gh GHA,MF,Venezia,31,1993,16,12,957,51,57,48,32
gn GUI,FW,cy APOEL,21,2002,5,0,62,41,26,52,55
tn TUN,MF,fr Nice,30,1993,29,18,1529,83,59,70,76
iq IRQ,FW,Ipswich Town,22,2002,11,0,134,49,40,81,29
fr FRA,DF,Torino,20,2004,15,4,388,85,40,59,46
iq IRQ,MO,Como,20,2004,2,0,10,34,37,56,43
ma MAR,MF,be Anderlecht,19,2005,3,2,157,55,58,86,50
gh GHA,DF,Rennes,24,2000,11,10,803,43,59,76,69
se SWE,MF,se Djurgården,17,2006,2,0,27,20,24,10,29
gm GAM,MO,Como,22,2001,28,20,1644,44,49,71,73
gn GUI,MO,Bochum,21,2002,5,0,91,37,47,41,42
br BRA,GK,Liverpool,31,1992,34,34,3078,55,69,64,46
ca CAN,DF,sct Celtic,25,1998,10,10,836,57,56,62,73
de GER,MF,Union Berlin,19,2004,15,11,922,62,45,43,37
si SVN,MF,si NK Celje,24,2000,11,8,827,83,38,65,36
cm CMR,MF,Getafe,36,1988,20,10,887,57,43,34,52
fr FRA,MO,tr Fenerbahçe,27,1997,7,4,382,48,72,87,31
ly LBY,MF,Monaco,28,1996,17,8,784,60,70,37,80
de GER,DF,Dortmund,18,2006,5,1,137,51,77,70,56
fr FRA,MF,Le Havre,27,1996,1,0,3,20,11,12,6
sn SEN,DF,cy AC Omonia,22,2001,8,8,695,47,62,81,55
it ITA,MO,Hellas Verona,17,2006,2,0,9,42,36,15,22
fr FRA,GK,West Ham,31,1993,26,25,2260,49,49,54,69
ca CAN,DF,Bayern Munich,23,2000,28,25,2261,89,87,91,40
tr TUR,GK,Manchester Utd,26,1998,6,6,540,42,39,47,49
by BLR,DF,by Dinamo Minsk,38,1986,1,1,90,22,41,37,41
by BLR,DF,by Dinamo Minsk,34,1990,5,5,410,54,32,24,50
ci CIV,MO,Manchester Utd,22,2002,37,26,2497,82,73,86,65
ml MLI,MF,RB Leipzig,26,1998,36,24,1908,40,55,38,73
ml MLI,MF,Reims,19,2005,24,17,1293,33,44,48,79
be BEL,MF,Aston Villa,22,2001,31,24,1888,63,43,50,66
ml MLI,MO,at Sturm Graz,19,2005,4,2,132,36,32,34,45
ba BIH,DF,Marseille,21,2002,17,9,944,69,83,93,50
ba BIH,MF,cz Viktoria Plzeň,23,2001,4,3,272,50,41,66,68
eng ENG,DF,eng Liverpool,17,2006,1,0,4,22,13,11,3
sn SEN,MO,Valladolid,28,1996,13,5,375,33,58,59,34
be BEL,DF,Stuttgart,22,2002,10,7,527,27,46,24,65
fr FRA,DF,Nice,16,2007,2,0,46,22,17,48,70
dz ALG,FW,dk FC Copenhagen,18,2006,7,4,397,72,46,50,38
se SWE,FW,Hellas Verona,23,2001,32,25,1907,41,57,45,62
at AUT,DF,at Rapid Wien,19,2005,1,0,46,22,43,71,76
ma MAR,MO,Leverkusen,24,2000,25,8,976,63,52,77,52
ma MAR,FW,pt Braga,23,2001,7,5,408,33,44,28,67
dz ALG,MO,Marseille,24,2000,33,23,2085,79,59,48,32
ma MAR,MF,Marseille,27,1997,13,8,519,92,87,80,39
ma MAR,DF,cy AC Omonia,25,1999,8,8,706,56,71,60,33
fr FRA,FW,Reims,24,2000,17,2,373,36,53,70,43
ma MAR,MF,Fiorentina,22,2002,36,15,1538,61,56,68,60
xk KVX,DF,Napoli,30,1994,38,38,3406,57,66,48,52
xk KVX,GK,ch Lugano,24,2000,8,8,750,60,71,50,55
de GER,DF,Werder Bremen,26,1998,23,16,1498,33,48,43,63
il ISR,MF,be Union SG,19,2004,9,7,661,40,38,75,67
nl NED,DF,Roma,22,2002,11,10,861,64,73,78,58
ma MAR,MO,Lens,23,2000,28,16,1405,58,73,66,51
gr GRE,MF,gr Panathinaikos,31,1993,7,5,387,84,78,71,51
gr GRE,MO,cy APOEL,27,1996,5,5,325,63,38,45,35
gr GRE,FW,Celta Vigo,24,1999,33,12,1280,55,50,48,54
ua UKR,GK,pt Benfica,22,2001,12,12,1080,47,44,42,67
es ESP,MO,Real Sociedad,22,2001,40,19,1751,61,63,74,61
es ESP,MF,Alavés,27,1997,33,20,1947,34,49,35,54
es ESP,MF,Athletic Club,34,1989,13,2,368,58,57,49,63
dk DEN,MO,se Malmö,34,1990,7,5,425,64,68,41,19
dk DEN,MO,be Anderlecht,26,1998,5,3,315,74,74,65,34
dk DEN,DF,no Molde,27,1997,4,3,283,43,69,77,80
br BRA,FW,cy Pafos FC,26,1997,10,1,252,66,60,46,32
es ESP,DF,Athletic Club,27,1996,29,23,1956,55,76,68,61
si SVN,FW,gr Panathinaikos,30,1994,3,1,98,34,31,29,31
cm CMR,MF,Napoli,28,1995,35,32,2852,76,62,58,46
it ITA,FW,Como,30,1993,22,7,652,45,42,37,67
it ITA,MF,Juventus,24,2000,40,30,2786,65,67,82,47
it ITA,DF,Monza,23,2001,26,25,2191,32,41,46,62
it ITA,MO,Fiorentina,25,1999,27,17,1505,46,49,61,44
it ITA,GK,Monza,20,2004,1,0,8,42,43,50,33
it ITA,FW,Monza,29,1995,13,2,335,18,25,40,47
it ITA,FW,Genoa,25,1999,36,33,2850,47,40,34,45
dk DEN,FW,St. Pauli,34,1990,14,0,62,85,60,66,65
dk DEN,DF,Barcelona,28,1996,6,2,262,31,62,43,69
dk DEN,MO,dk FC Copenhagen,31,1993,6,1,174,26,23,14,61
no NOR,DF,Mainz 05,27,1997,22,12,1284,58,46,37,59
no NOR,FW,no Bodø/Glimt,26,1998,12,1,255,53,60,52,72
gr GRE,DF,gr Olympiacos,21,2003,2,0,27,22,26,22,89
