Player,Nation,Position,Squad,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Jonas Omlin,ch SUI,GK,Gladbach,30,1994,12,11,978,26,72,45,1,3,2,1,0,23.8,68,190,453,46,57,166,3,13
Anthony Lopes,pt POR,GK,Nantes,33,1990,18,18,1563,26,71,46,3,5,4,0,1,25.6,89,257,451,56,96,308,16,8
Marvin Keller,ch SUI,GK,ch Young Boys,22,2002,4,4,360,9,24,16,0,1,0,1,0,7.7,12,53,165,19,11,76,0,2
Alberto Paleari,it ITA,GK,Torino,31,1992,1,1,90,3,7,4,0,0,0,0,0,2.2,8,12,26,5,6,12,0,5
Lukáš Horníček,cz CZE,GK,pt Braga,22,2002,4,3,291,4,16,12,1,0,0,0,0,5.0,12,41,91,13,16,53,2,9
Giorgi Mamardashvili,ge GEO,GK,Valencia,23,2000,34,34,3060,48,136,89,8,7,5,2,0,46.1,141,449,859,134,219,472,33,38
Gabriel Kobylak,pl POL,GK,pl Legia Warsaw,22,2002,4,4,360,5,23,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Arijanet Muric,xk KVX,GK,Ipswich Town,25,1998,18,18,1620,33,100,67,1,3,3,0,0,31.4,76,229,534,94,94,249,39,20
Daniel Peretz,il ISR,GK,Bayern Munich,24,2000,3,3,270,5,7,2,0,0,0,0,0,4.0,5,25,96,5,7,17,0,8
Vladan Kovačević,ba BIH,GK,pl Legia Warsaw,26,1998,2,2,180,4,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniil Khudiakov,ru RUS,GK,at Sturm Graz,20,2004,2,2,180,3,10,7,1,0,0,0,0,2.7,9,39,61,9,11,32,4,1
Rui Patrício,pt POR,GK,Atalanta,36,1988,3,3,270,3,14,11,1,0,0,0,0,4.2,8,19,83,12,18,29,0,10
Luca Philipp,de GER,GK,Hoffenheim,23,2000,6,6,540,15,35,21,0,1,1,0,0,12.3,30,97,157,22,36,84,3,4
Radosław Majecki,pl POL,GK,Monaco,24,1999,15,15,1350,22,65,43,3,2,2,0,0,21.1,27,112,320,76,87,154,14,18
Martin Jedlička,cz CZE,GK,cz Viktoria Plzeň,26,1998,12,12,1080,16,59,42,3,1,0,1,0,20.4,71,203,292,32,68,176,10,13
Neto,br BRA,GK,Bournemouth,35,1989,2,2,180,2,13,11,0,0,0,0,0,4.3,9,27,46,7,15,30,2,3
Unai Marrero,es ESP,GK,Real Sociedad,22,2001,2,2,180,3,12,8,0,1,0,1,0,3.5,7,16,41,11,15,21,1,3
Robin Olsen,se SWE,GK,Aston Villa,34,1990,4,1,226,6,14,8,1,1,1,0,0,6.3,19,54,75,1,26,40,3,0
Steve Mandanda,fr FRA,GK,Rennes,39,1985,18,17,1486,23,51,29,6,3,2,1,0,17.0,61,180,426,66,73,175,7,21
Gregor Kobel,ch SUI,GK,de Dortmund,26,1997,13,13,1170,19,57,39,4,0,0,0,0,17.7,40,119,408,59,47,124,6,20
Simone Perilli,it ITA,GK,Hellas Verona,29,1995,2,2,180,2,11,9,0,0,0,0,0,3.0,7,41,34,2,14,46,2,3
Fyodor Lapoukhov,by BLR,GK,by Dinamo Minsk,21,2003,6,6,540,13,30,16,1,4,2,2,0,0,0,0,0,0,0,0,0,0
Juan Musso,ar ARG,GK,Atlético Madrid,30,1994,2,2,180,0,2,2,2,0,0,0,0,0.1,1,9,46,11,13,23,2,0
Liam Kelly,sct SCO,GK,sct Rangers,28,1996,2,2,180,2,6,3,1,2,1,1,0,3.1,11,42,53,8,19,49,4,4
Lasse Rieß,de GER,GK,Mainz 05,23,2001,2,2,180,2,8,6,0,0,0,0,0,2.2,13,43,72,7,12,23,2,8
Lucas Perri,br BRA,GK,Lyon,26,1997,33,33,2970,44,160,116,10,3,3,0,0,47.8,101,310,884,183,152,415,26,29
Frederik Rønnow,dk DEN,GK,Union Berlin,31,1992,28,28,2520,37,111,71,8,5,1,4,0,39.3,143,395,734,135,161,483,40,35
Yuri Lodygin,ru RUS,GK,gr Panathinaikos,34,1990,3,3,270,2,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
André Onana,cm CMR,GK,Manchester Utd,28,1996,34,34,3060,44,132,88,9,4,3,1,0,44.0,118,440,1152,136,149,399,22,23
Philipp Köhn,ch SUI,GK,fr Monaco,26,1998,2,2,180,3,4,1,0,0,0,0,0,1.3,3,8,30,8,8,17,1,2
Mattia Perin,it ITA,GK,Juventus,31,1992,5,5,450,3,16,13,3,0,0,0,0,3.7,11,44,170,30,12,50,3,3
Ørjan Nyland,no NOR,GK,Sevilla,33,1990,30,30,2673,39,112,73,7,4,3,1,0,37.1,118,445,836,114,166,408,20,29
Mads Kikkenborg,dk DEN,GK,be Anderlecht,24,1999,1,1,90,4,5,2,0,0,0,0,0,2.5,5,9,27,2,5,8,0,1
Matej Kovar,cz CZE,GK,de Leverkusen,24,2000,6,6,540,6,13,7,3,1,1,0,0,5.4,30,60,163,21,29,57,5,3
Antonín Kinský,cz CZE,GK,cz Slavia Prague,21,2003,6,6,540,7,16,9,1,1,1,0,0,5.8,30,63,223,20,20,43,2,9
Đorđe Petrović,rs SRB,GK,Strasbourg,24,1999,31,31,2790,38,147,110,10,8,7,1,0,45.9,117,361,1438,127,107,491,41,47
Semuel Pizzignacco,it ITA,GK,Monza,22,2001,9,8,736,17,38,22,1,0,0,0,0,12.4,39,113,273,30,49,119,4,7
Kauã Santos,br BRA,GK,Eint Frankfurt,21,2003,9,8,765,12,46,35,3,1,1,0,0,14.3,40,116,248,34,44,137,16,18
Jan Oblak,si SVN,GK,Atlético Madrid,31,1993,36,36,3240,30,114,86,15,5,5,0,0,25.6,109,277,670,183,277,488,28,28
Filip Manojlović,rs SRB,GK,ba Borac Banja Luka,28,1996,9,9,840,9,39,29,4,1,0,1,0,0,0,0,0,0,0,0,0,0
Stefan Ortega,de GER,GK,Manchester City,31,1992,13,12,1100,18,50,33,3,2,2,0,0,16.3,40,104,409,55,49,133,6,12
Jesús Owono,gq EQG,GK,Alavés,23,2001,6,5,487,7,14,7,0,1,1,0,0,5.4,46,105,126,12,36,66,6,2
Ricardo Manuel Silva,pt POR,GK,si NK Celje,25,1999,6,6,570,11,27,16,2,1,1,0,0,0,0,0,0,0,0,0,0,0
Mateusz Kochalski,pl POL,GK,az Qarabağ,24,2000,6,6,540,15,43,28,0,1,1,0,0,16.9,22,83,191,21,30,67,3,6
Pau López,es ESP,GK,es Girona,29,1994,1,1,90,2,6,3,0,2,1,1,0,2.0,2,7,39,5,1,22,2,0
Alex Palmer,eng ENG,GK,Ipswich Town,27,1996,13,13,1170,30,71,43,0,1,1,0,0,25.1,71,186,329,55,94,249,20,13
Ivan Provedel,it ITA,GK,Lazio,30,1994,29,29,2610,42,92,52,5,4,4,0,0,31.5,146,374,1009,96,106,366,29,32
Guillaume Restes,fr FRA,GK,Toulouse,19,2005,29,29,2543,36,92,58,8,2,1,1,0,27.9,80,286,675,83,135,360,5,34
Alexander Schwolow,de GER,GK,Union Berlin,32,1992,6,6,540,13,28,15,0,1,1,0,0,9.7,28,73,166,26,40,85,0,4
Ionuț Radu,ro ROU,GK,Venezia,27,1997,15,15,1350,18,65,47,4,3,3,0,0,19.2,67,275,470,61,73,215,13,3
Tobias Sippel,de GER,GK,Gladbach,36,1988,1,0,59,3,4,1,0,0,0,0,0,1.2,9,22,22,2,12,13,0,0
Tommaso Martinelli,it ITA,GK,it Fiorentina,18,2006,1,1,90,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Padilla,es ESP,GK,Athletic Club,20,2003,5,3,321,6,17,12,0,1,1,0,0,4.8,27,78,98,15,22,57,2,3
Jordan Pickford,eng ENG,GK,Everton,30,1994,38,38,3420,44,163,117,12,2,0,2,0,48.8,304,806,1355,161,231,558,31,57
Andriy Lunin,ua UKR,GK,es Real Madrid,25,1999,2,2,180,4,12,8,0,1,1,0,0,4.8,2,4,31,11,3,17,4,3
Gerónimo Rulli,ar ARG,GK,Marseille,32,1992,34,34,3060,47,135,87,5,6,3,3,0,47.5,92,202,1097,133,105,309,28,59
Dominik Kotarski,hr CRO,GK,gr PAOK,24,2000,10,10,900,14,45,32,3,0,0,0,0,16.8,38,132,349,34,42,135,3,8
