Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Matheus,br BRA,GK,pt Braga,32,1992,6,6,517,2.09,5.57,3.48,0.17,0.17,0.17,0.0,0.0,1.74,2.79,8.36,36.21,3.66,6.09,14.8,0.7,2.61,0.0,-0.35,62.48,33.37,4.73
Mathew Ryan,au AUS,GK,Lens,32,1992,14,14,1260,1.21,4.43,3.14,0.43,0.21,0.14,0.07,0.0,1.39,3.29,9.64,24.43,5.64,4.71,12.57,1.43,0.71,0.07,0.18,70.88,34.13,11.38
Mathieu Gorgelin,fr FRA,GK,Le Havre,33,1990,16,16,1440,2.06,5.12,3.12,0.06,0.19,0.19,0.0,0.0,2.14,4.94,11.44,27.19,4.69,6.19,16.81,1.31,0.5,0.0,0.08,60.94,43.18,7.79
Matjaž Rozman,si SVN,GK,si NK Celje,37,1987,4,4,360,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,60.0,,
Matouš Trmal,cz CZE,GK,cz Mladá Boleslav,25,1998,6,6,540,1.67,6.5,5.0,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.67,76.92,,
Mattia Perin,it ITA,GK,Juventus,31,1992,8,7,661,0.95,5.04,3.95,0.41,0.27,0.14,0.14,0.0,1.46,2.59,8.58,33.09,6.4,3.13,12.39,0.68,0.54,0.14,0.5,78.37,30.19,5.49
Matvei Safonov,ru RUS,GK,Paris S-G,25,1999,12,11,1059,0.85,2.8,2.04,0.34,0.17,0.17,0.0,0.0,0.78,3.48,9.43,26.52,4.33,4.93,9.26,0.59,1.53,0.0,-0.07,72.86,36.9,6.37
Matz Sels,be BEL,GK,Nott'ham Forest,32,1992,38,38,3420,1.21,4.34,3.13,0.34,0.08,0.08,0.0,0.0,1.29,6.42,18.37,18.82,2.18,7.11,18.68,0.5,0.32,0.0,0.08,72.12,34.95,2.68
Maxime Delanghe,be BEL,GK,be Cercle Brugge,23,2001,7,6,599,1.5,4.36,2.85,0.3,0.45,0.15,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-1.5,65.37,,
Maxime Dupé,fr FRA,GK,fr Nice,31,1993,2,2,180,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.1,2.0,3.5,26.0,6.0,6.5,9.5,0.5,0.5,0.0,0.1,75.0,57.14,5.26
