Player,Team,League,Nationality,Matches,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Attempted Goal Kicks,Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Pass Length,Goal Kick Length,Distance of Defensive Actions
Kevin Müller,Heidenheim,Europa Conference League,de GER,5,450,21.0,4.0,17.0,6.4,2.4,2,22.0,56.0,156.0,22.0,44.0,84.0,6.0,5.0,4.16,37.33,14.36
Kevin Trapp,Eint Frankfurt,Bundesliga,de GER,26,2295,117.0,34.0,82.0,34.9,0.8,6,89.0,312.0,813.0,123.0,130.0,394.0,24.0,28.0,4.31,36.9,18.73
Kevin Trapp,Eint Frankfurt,Europa League,de GER,7,630,20.0,7.0,14.0,6.6,-0.4,3,21.0,62.0,185.0,23.0,48.0,120.0,5.0,6.0,3.32,38.57,17.72
Kjell Scherpen,Sturm Graz,Champions League,nl NED,6,540,35.0,11.0,24.0,12.6,1.6,1,28.0,93.0,161.0,19.0,40.0,105.0,8.0,4.0,4.12,49.58,11.73
Kjetil Haug,Toulouse,Ligue 1,no NOR,6,498,16.0,7.0,9.0,6.8,-0.2,1,16.0,60.0,95.0,13.0,35.0,72.0,5.0,3.0,4.27,49.09,16.77
Kostas Tzolakis,Olympiacos,Europa League,gr GRE,10,897,34.0,7.0,27.0,10.1,3.1,6,56.0,169.0,222.0,45.0,44.0,81.0,11.0,34.0,8.64,53.98,21.29
Krapyvtsov Vladyslav,Girona,La Liga,ua UKR,2,180,18.0,7.0,11.0,6.3,-0.7,0,10.0,21.0,63.0,13.0,7.0,27.0,1.0,1.0,7.22,28.6,16.8
Lars Unnerstall,Twente,Europa League,de GER,9,730,36.0,11.0,26.0,9.9,-1.1,2,37.0,115.0,234.0,32.0,41.0,104.0,4.0,11.0,4.63,30.75,16.31
Lasse Rieß,Mainz 05,Bundesliga,de GER,2,180,8.0,2.0,6.0,2.2,0.2,0,13.0,43.0,72.0,7.0,12.0,23.0,2.0,8.0,4.22,45.6,18.35
Lawrence Ati-Zigi,St. Gallen,Europa Conference League,gh GHA,6,540,50.0,18.0,33.0,15.6,-2.4,0,27.0,57.0,193.0,27.0,40.0,81.0,6.0,8.0,4.15,29.06,18.81
Leandro Chichizola,Parma,Serie A,ar ARG,1,90,6.0,3.0,3.0,2.5,-0.5,0,3.0,16.0,41.0,5.0,8.0,21.0,2.0,2.0,4.13,34.4,16.3
Leo Román,Mallorca,La Liga,es ESP,7,630,49.0,10.0,39.0,13.5,3.5,2,48.0,139.0,188.0,18.0,52.0,127.0,8.0,6.0,3.99,57.47,11.43
Liam Kelly,Rangers,Europa League,sct SCO,2,180,6.0,2.0,3.0,3.1,1.1,1,11.0,42.0,53.0,8.0,19.0,49.0,4.0,4.0,5.96,57.27,16.85
Lorenzo Montipò,Hellas Verona,Serie A,it ITA,36,3240,161.0,64.0,97.0,50.7,-13.3,8,210.0,720.0,760.0,91.0,298.0,498.0,30.0,23.0,4.77,59.26,14.67
Lorenzo Torriani,Milan,Champions League,it ITA,1,40,4.0,1.0,3.0,1.4,0.4,0,0.0,2.0,12.0,1.0,3.0,4.0,0.0,0.0,2.65,20.0,
Lovro Štubljar,NK Celje,Europa Conference League,si SVN,2,180,12.0,5.0,6.0,3.9,-1.1,0,19.0,37.0,57.0,13.0,20.0,29.0,4.0,0.0,8.58,47.03,
Luca Philipp,Hoffenheim,Bundesliga,de GER,6,540,35.0,15.0,21.0,12.2,-2.8,0,30.0,97.0,157.0,22.0,36.0,84.0,3.0,4.0,5.04,40.64,18.23
Luca Philipp,Hoffenheim,Europa League,de GER,1,90,6.0,3.0,3.0,1.2,-1.8,0,7.0,20.0,25.0,3.0,9.0,24.0,1.0,1.0,4.96,44.1,12.0
Lucas Chevalier,Lille,Champions League,fr FRA,10,900,45.0,13.0,32.0,15.4,2.4,1,44.0,125.0,303.0,34.0,36.0,112.0,5.0,3.0,3.71,49.96,13.17
Lucas Chevalier,Lille,Ligue 1,fr FRA,34,3060,126.0,36.0,91.0,42.3,6.3,11,112.0,288.0,968.0,144.0,112.0,373.0,21.0,24.0,4.21,35.72,17.72
Lucas Perri,Lyon,Europa League,br BRA,11,990,48.0,14.0,34.0,17.3,3.3,3,36.0,129.0,339.0,43.0,59.0,130.0,11.0,5.0,4.02,34.14,13.54
Lucas Perri,Lyon,Ligue 1,br BRA,33,2970,160.0,44.0,116.0,47.8,3.8,10,101.0,310.0,884.0,183.0,152.0,415.0,26.0,29.0,6.24,37.57,19.64
Luiz Lúcio Reis Júnior,Villarreal,La Liga,br BRA,17,1458,66.0,18.0,48.0,17.9,-0.1,6,61.0,178.0,392.0,96.0,99.0,256.0,16.0,20.0,7.87,43.6,17.65
Lukas Jungwirth,LASK,Europa Conference League,at AUT,3,262,19.0,10.0,10.0,8.3,-1.7,0,11.0,31.0,87.0,14.0,19.0,58.0,7.0,1.0,4.57,40.7,15.7
Lukáš Horníček,Braga,Europa League,cz CZE,4,290,16.0,4.0,12.0,5.1,1.1,1,12.0,41.0,91.0,13.0,16.0,53.0,2.0,9.0,4.42,32.81,15.53
Lukáš Hrádecký,Leverkusen,Bundesliga,fi FIN,29,2610,118.0,38.0,83.0,35.5,-2.5,6,123.0,306.0,774.0,110.0,135.0,296.0,12.0,39.0,4.29,40.83,21.51
Lukáš Hrádecký,Leverkusen,Champions League,fi FIN,4,360,21.0,6.0,15.0,6.7,0.7,2,10.0,37.0,114.0,15.0,21.0,43.0,1.0,7.0,3.66,38.06,16.63
