Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Anatolii Trubin,ua UKR,GK,pt Benfica,22,2001,12,12,1080,40,65,71,76,64,75,35,46,36,21,29,28,92,56,66,51,43,33,25,56,7,33
Andrea Mazza,it ITA,GK,Monza,20,2004,1,0,8,98,0,1,14,17,20,35,46,9,98,95,99,99,100,36,12,12,33,0,0,95,4
Andriy Lunin,ua UKR,GK,Real Madrid,25,1999,9,9,810,71,17,19,89,47,57,35,46,40,29,20,23,70,54,23,51,88,33,66,42,97,74
André Ferreira,pt POR,GK,Valladolid,28,1996,6,6,540,4,90,61,14,95,96,35,46,94,69,65,30,67,93,74,51,34,33,27,7,58,30
André Onana,cm CMR,GK,Manchester Utd,28,1996,47,47,4260,61,22,25,54,59,65,72,46,44,46,55,75,46,36,38,47,47,68,58,43,23,45
Anthony Lopes,pt POR,GK,Nantes,33,1990,18,18,1563,46,34,33,40,86,84,35,97,60,72,70,40,33,57,90,71,31,80,58,39,52,40
Anthony Moris,lu LUX,GK,be Union SG,34,1990,10,10,930,80,18,32,46,45,55,35,46,39,93,80,63,24,26,35,59,32,33,83,78,85,66
Antonio Sivera,es ESP,GK,Alavés,27,1996,32,32,2810,68,19,22,61,86,90,35,46,41,97,96,33,23,82,66,72,56,33,62,51,81,62
Antonín Kinský,cz CZE,GK,Tottenham,21,2003,12,12,1080,46,30,35,40,40,50,35,46,51,51,40,82,77,35,53,77,84,33,47,50,76,74
Arijanet Muric,xk KVX,GK,Ipswich Town,25,1998,18,18,1620,29,75,78,29,64,75,35,46,75,57,57,61,87,53,60,99,70,33,53,51,44,99
Arnau Rafús,es ESP,GK,Valladolid,21,2003,1,1,90,24,3,1,14,17,20,35,46,20,92,72,92,83,48,63,77,62,33,17,0,93,69
Arnau Tenas,es ESP,GK,Paris S-G,23,2001,1,1,90,85,30,52,14,17,20,35,46,62,36,18,62,54,18,18,77,62,33,95,84,100,99
Arthur Desmas,fr FRA,GK,Le Havre,30,1994,18,18,1620,20,69,52,40,64,57,83,46,87,37,33,27,54,72,75,51,30,80,66,19,63,30
Augusto Batalla,ar ARG,GK,Rayo Vallecano,28,1996,32,32,2880,71,37,46,59,80,80,83,46,41,78,78,66,57,61,64,82,72,80,66,62,43,73
Bart Verbruggen,nl NED,GK,Brighton,21,2002,36,36,3240,37,28,23,46,80,87,35,46,56,40,45,81,36,19,37,57,78,33,42,27,33,61
Bartłomiej Drągowski,pl POL,GK,gr Panathinaikos,26,1997,7,7,630,32,76,81,67,56,67,35,46,9,9,8,8,8,8,8,12,12,33,8,60,0,0
Ben Alexander Voll,de GER,GK,St. Pauli,23,2000,2,1,91,27,62,48,14,17,20,35,46,91,91,98,89,80,98,70,12,12,33,86,23,11,4
Benjamin Lecomte,fr FRA,GK,Montpellier,33,1991,30,30,2700,15,81,76,28,75,82,76,46,81,82,71,49,48,66,58,51,54,71,37,29,77,37
Benjamin Siegrist,ch SUI,GK,Genoa,32,1992,2,2,152,74,94,98,14,17,20,35,46,56,43,84,72,88,97,75,44,39,33,88,96,5,24
Bernd Leno,de GER,GK,Fulham,32,1992,38,38,3420,52,39,39,35,47,50,76,46,45,47,39,74,69,40,56,45,54,71,47,50,73,32
Brandon Austin,eng ENG,GK,eng Tottenham,25,1999,3,3,270,59,9,7,76,17,20,35,46,72,31,24,32,83,37,90,99,78,33,91,15,84,98
Brice Samba,fr FRA,GK,Rennes,30,1994,32,32,2879,65,47,56,84,74,71,83,46,59,61,44,68,50,58,40,80,71,80,81,61,82,83
Bruno Varela,cv CPV,GK,pt Vitória,29,1994,8,8,720,46,30,27,14,17,20,35,46,9,9,8,8,8,8,8,12,12,33,8,31,0,0
Caoimhín Kelleher,ie IRL,GK,Liverpool,25,1998,14,14,1260,79,25,32,92,56,20,94,46,41,33,43,86,68,21,33,42,71,93,84,56,16,40
Christian Walton,eng ENG,GK,Ipswich Town,28,1995,7,7,630,8,76,43,36,86,90,35,46,93,84,77,59,83,81,79,95,26,33,45,12,59,92
Christos Mandas,gr GRE,GK,Lazio,22,2001,18,18,1650,93,14,28,76,17,20,35,46,29,72,61,75,49,26,36,93,90,33,92,86,73,97
Colin Coosemans,be BEL,GK,be Anderlecht,31,1992,9,9,810,51,35,35,33,74,57,90,46,34,74,81,98,62,30,76,60,74,89,29,40,28,38
Connor Roberts,wls WAL,GK,wls The New Saints,31,1992,6,6,540,34,93,96,40,64,75,35,46,9,9,8,8,8,8,8,12,12,33,8,87,0,0
Craig Gordon,sct SCO,GK,sct Hearts,41,1982,6,6,540,46,24,19,40,89,92,35,46,9,9,8,8,8,8,8,12,12,33,8,26,0,0
Damjan Šiškovski,mk MKD,GK,ba Borac Banja Luka,29,1995,1,1,90,85,3,3,14,17,20,35,46,9,9,8,8,8,8,8,12,12,33,8,9,0,0
Dani Cárdenas,es ESP,GK,Rayo Vallecano,27,1997,6,6,540,85,14,19,76,17,20,35,46,24,59,83,26,39,85,54,31,24,33,51,62,10,15
Daniel Bentley,eng ENG,GK,Wolves,31,1993,2,2,180,24,85,84,92,17,20,35,46,83,42,43,41,28,72,46,12,84,33,56,48,46,4
Daniel Peretz,il ISR,GK,Bayern Munich,24,2000,4,4,360,46,7,4,14,17,20,35,46,43,26,30,64,18,24,18,12,92,33,38,5,19,4
Daniel Schmidt,jp JPN,GK,be Gent,32,1992,1,1,90,24,9,3,14,17,20,35,46,9,9,8,8,8,8,8,12,12,33,8,2,0,0
Daniele Padelli,it ITA,GK,Udinese,38,1985,1,1,90,98,9,52,98,17,20,35,46,22,36,26,20,21,18,33,77,12,33,99,99,85,86
Daniele Sommariva,it ITA,GK,Genoa,27,1997,1,0,28,4,99,98,14,17,20,35,46,97,38,98,57,8,99,99,12,12,33,45,49,1,4
Daniil Khudiakov,ru RUS,GK,at Sturm Graz,20,2004,2,2,180,46,65,74,92,17,20,35,46,50,62,89,64,72,57,81,97,34,33,45,63,9,95
Danijel Zagorac,hr CRO,GK,hr Dinamo Zagreb,37,1987,3,3,270,59,30,35,76,17,20,35,46,60,84,82,32,21,96,92,51,62,33,79,50,53,21
Danny Ward,wls WAL,GK,Leicester City,31,1993,2,1,135,1,92,35,14,17,20,35,46,79,89,69,65,96,42,20,12,78,33,19,3,90,4
David Raya,es ESP,GK,Arsenal,28,1995,51,51,4590,92,11,16,82,56,55,79,46,25,58,57,73,71,34,31,87,87,75,81,71,42,94
David Soria,es ESP,GK,Getafe,31,1993,38,38,3420,81,14,17,56,77,83,76,46,33,95,93,21,20,88,48,49,66,71,73,55,66,41
David de Gea,es ESP,GK,Fiorentina,33,1990,39,39,3540,74,33,41,59,54,50,80,46,25,78,55,28,34,66,42,31,45,77,34,63,88,16
David von Ballmoos,ch SUI,GK,ch Young Boys,29,1994,4,4,360,2,95,65,14,80,20,97,46,92,81,78,71,23,61,69,28,62,96,21,5,50,12
Davy Roef,be BEL,GK,be Gent,30,1994,7,7,630,63,71,84,88,17,20,35,46,9,9,8,8,8,8,8,12,12,33,8,87,0,0
Dean Henderson,eng ENG,GK,Crystal Palace,27,1997,38,38,3420,58,27,33,67,36,42,76,46,50,54,75,36,29,80,68,61,66,71,63,52,13,44
Deniz Dilmen,0,GK,tr Başakşehir,19,2005,2,2,180,2,90,52,14,17,20,35,46,9,9,8,8,8,8,8,12,12,33,8,6,0,0
Devis Vásquez,co COL,GK,Empoli,26,1998,32,32,2880,53,26,25,46,43,42,76,95,42,71,83,61,34,43,74,83,31,80,43,33,21,70
Diant Ramaj,de GER,GK,dk FC Copenhagen,22,2001,4,4,390,56,53,63,14,17,20,35,46,9,9,8,8,8,8,8,12,12,33,8,62,0,0
Diego Conde,es ESP,GK,Villarreal,25,1998,22,22,1962,43,44,42,31,68,67,35,97,39,32,28,35,86,46,70,65,46,77,30,44,69,49
Dimitry Bertaud,cd COD,GK,Montpellier,26,1998,4,4,360,8,70,27,14,95,96,35,46,89,69,51,25,77,75,59,97,47,33,30,7,84,98
Dinko Horkaš,hr CRO,GK,Las Palmas,25,1999,13,11,1085,40,49,45,30,64,50,87,46,69,80,68,93,69,33,43,57,78,85,66,39,77,58
Diogo Costa,pt POR,GK,pt Porto,24,1999,10,10,900,46,22,18,70,17,20,35,46,40,69,57,90,49,50,67,70,77,33,34,25,76,58
Dmytro Riznyk,ua UKR,GK,ua Shakhtar,25,1999,8,8,720,24,90,91,59,80,62,92,46,87,81,76,93,64,75,89,97,34,91,73,60,55,93
Dominik Greif,sk SVK,GK,Mallorca,27,1997,31,31,2790,78,21,36,54,37,47,35,46,31,85,73,50,58,68,85,35,44,33,60,71,79,18
Dominik Kotarski,hr CRO,GK,gr PAOK,24,2000,10,10,900,54,51,62,70,17,20,35,46,72,49,60,84,37,36,57,30,49,33,88,68,21,14
Dominik Livaković,hr CRO,GK,tr Fenerbahçe,29,1995,6,6,540,46,79,84,14,64,20,95,46,71,82,85,91,88,37,42,38,62,94,79,66,40,27
Dominik Takáč,sk SVK,GK,sk Slovan Bratislava,25,1999,8,8,720,3,96,91,14,80,62,92,46,97,57,56,22,80,94,96,90,12,91,40,16,48,64
Donovan Léon,gf GUF,GK,Auxerre,31,1992,32,32,2880,46,68,78,65,70,71,76,46,75,89,92,60,89,65,83,68,74,71,84,73,40,45
Dávid Gróf,hu HUN,GK,hu Ferencváros,35,1989,2,2,180,46,51,52,92,17,20,35,46,38,69,75,32,21,28,85,77,34,33,30,48,32,57
