Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency
Jhonatan,br BRA,GK,Rio Ave,33,1991,8,8,720,13,43,30,2,0,0,0,0,12.3,30,102,231,40,78,126,3,5,0,-0.6999999999999993
Jimmy Maurer,us USA,GK,Houston Dynamo,36-278,1988,2,1,120,1,5,4,0,0,0,0,0,0.8,6,20,36,4,6,16,1,1,0,-0.19999999999999996
Jo Coppens,be BEL,GK,Sint-Truiden,33,1990,3,3,270,11,18,7,0,1,1,0,0,9.0,12,47,96,9,10,50,1,0,0,-2.0
Joe Walsh,eng ENG,GK,QPR,22,2002,1,1,90,0,4,4,1,0,0,0,0,1.7,7,24,37,2,5,30,1,0,0,1.7
Joe Wildsmith,eng ENG,GK,West Brom,28,1995,10,10,900,9,28,19,2,0,0,0,0,9.0,54,175,303,45,65,118,7,7,0,0.0
Joe Willis,us USA,GK,Nashville SC,36-343,1988,23,23,2070,25,88,63,8,3,2,1,0,26.8,75,205,652,126,119,285,25,12,1,1.8000000000000007
Joel Drommel,nl NED,GK,PSV Eindhoven,27,1996,1,0,45,0,0,0,0,0,0,0,0,0.0,5,11,21,1,5,6,0,0,0,0.0
Joel Robles,es ESP,GK,Estoril,34,1990,29,29,2610,46,132,85,5,6,5,1,0,50.0,159,513,659,111,222,405,17,43,1,4.0
Joey Kesting,nl NED,GK,RKC Waalwijk,23,2001,3,3,270,5,13,8,0,3,3,0,0,5.1,25,53,86,7,17,51,0,2,0,0.09999999999999964
John,br BRA,GK,Botafogo (RJ),29-156,1996,19,19,1710,12,62,49,10,1,1,0,0,15.8,82,196,548,66,103,274,14,16,0,3.8
John McCarthy,us USA,GK,LA Galaxy,33-015,1992,11,11,990,26,56,31,0,4,3,1,0,20.0,27,123,245,46,54,135,8,9,1,-6.0
John Pulskamp,us USA,GK,Sporting KC,24-091,2001,22,22,1980,41,117,78,3,7,6,0,1,39.0,96,367,481,78,186,291,14,17,1,-2.0
Jonas Wendlinger,at AUT,GK,Almere City,24,2000,1,0,10,0,0,0,0,0,0,0,0,0.0,1,5,4,0,1,1,1,0,0,0.0
Jonathan Bond,eng ENG,GK,Houston Dynamo,32-061,1993,24,23,2148,40,107,66,6,2,1,1,0,37.5,85,229,607,99,125,296,10,37,1,-2.5
Jonathan Klinsmann,us USA,GK,Cesena,27,1997,27,27,2430,30,94,64,7,3,1,2,0,30.2,43,263,553,138,178,345,21,19,2,0.1999999999999993
Jonathan Sirois,ca CAN,GK,CF Montréal,24-022,2001,20,20,1800,34,102,68,4,0,0,0,0,30.4,74,202,710,85,80,185,14,22,0,-3.6000000000000014
Jordan Archer,sct SCO,GK,Portsmouth,31,1993,2,1,150,2,11,9,0,0,0,0,0,2.9,7,26,50,5,7,32,0,3,0,0.8999999999999999
Jorge Broun,ar ARG,GK,Rosario Central,39-054,1986,15,15,1350,9,48,40,7,0,0,0,0,9.7,84,176,269,66,145,257,7,1,0,0.6999999999999993
Jorge Carranza,ar ARG,GK,Aldosivi,44-073,1981,13,13,1170,20,56,36,3,3,3,0,0,14.2,68,157,253,56,82,211,10,8,0,-5.800000000000001
Jorge Hernández,mx MEX,GK,Querétaro,25,1998,9,9,810,13,41,28,2,2,1,0,1,12.8,31,125,137,21,85,190,4,0,1,-0.1999999999999993
Josh Vickers,eng ENG,GK,Derby County,28,1995,6,6,540,6,17,11,3,0,0,0,0,6.7,38,127,122,16,55,92,9,3,0,0.7000000000000002
Joshua Griffiths,eng ENG,GK,West Brom,22,2001,6,6,540,11,26,15,1,0,0,0,0,8.8,23,74,171,29,26,103,2,6,0,-2.1999999999999993
Josue Reinatti,ar ARG,GK,Newell's OB,22-047,2003,2,2,180,4,14,10,0,1,1,0,0,4.6,7,11,55,20,6,33,3,1,0,0.5999999999999996
José Antonio Rodríguez,mx MEX,GK,Tijuana,32,1992,21,21,1880,36,113,79,3,3,3,0,0,33.9,118,298,870,87,122,275,16,23,0,-2.1000000000000014
José Contreras Verna,ve VEN,GK,ec Barcelona,30-272,1994,5,5,396,4,21,16,2,1,0,1,0,5.9,16,63,77,15,44,62,7,0,1,1.9000000000000004
José Corona,mx MEX,GK,Tijuana,43,1981,11,10,910,18,53,34,1,3,2,1,0,20.0,27,70,338,42,44,109,2,8,1,2.0
José Eulogio,mx MEX,GK,Pachuca,20,2004,2,2,180,4,8,4,0,0,0,0,0,2.5,8,16,27,7,16,15,0,0,0,-1.5
José Rangel Aguilar,mx MEX,GK,Guadalajara,24,2000,32,32,2879,32,121,87,11,3,1,2,0,32.4,147,391,919,150,215,383,32,36,2,0.3999999999999986
José Santiago Hernández,mx MEX,GK,Atlas,27,1997,3,3,270,3,6,3,1,1,1,0,0,2.5,10,27,66,9,14,24,1,2,0,-0.5
João Gonçalves,pt POR,GK,Boavista,23,2000,4,4,360,2,8,6,2,0,0,0,0,3.3,31,88,74,3,36,59,1,1,0,1.2999999999999998
João Paulo Santos Costa,pt POR,GK,Estrela,28,1996,14,14,1260,17,54,36,4,4,3,1,0,19.0,94,244,312,37,120,181,2,14,1,2.0
João Ricardo Riedi,br BRA,GK,Fortaleza,36-316,1988,18,18,1620,23,92,69,8,2,1,1,0,27.9,81,210,356,82,123,223,17,19,1,4.899999999999999
João Valido,pt POR,GK,Arouca,24,2000,5,5,450,6,20,14,1,1,1,0,0,5.5,17,32,105,22,50,70,9,8,0,-0.5
Juan Cozzani,ar ARG,GK,Platense,26-283,1998,17,17,1530,14,63,51,6,2,2,0,0,19.1,86,344,328,24,115,257,10,19,0,5.100000000000001
Juan Espínola,py PAR,GK,Belgrano,30-259,1994,11,11,990,18,41,23,3,1,1,0,0,12.0,65,204,289,39,71,182,13,8,0,-6.0
Juan González,uy URU,GK,Atlé Tucumán,32-009,1993,6,6,540,5,22,18,2,1,1,0,0,5.0,39,92,137,17,42,87,9,6,0,0.0
Juan Zozaya,ar ARG,GK,Cen. Córdoba–SdE,24-038,2001,2,2,180,3,8,5,0,0,0,0,0,3.9,6,14,28,6,12,29,0,0,0,0.8999999999999999
Julien Devriendt,be BEL,GK,Dender,25,1998,4,3,315,9,26,17,0,1,1,0,0,7.2,13,42,77,23,16,49,2,7,0,-1.7999999999999998
Julio José González,mx MEX,GK,UNAM,33,1991,19,19,1710,19,74,56,7,3,3,0,0,16.9,87,249,430,87,182,226,9,35,0,-2.0999999999999996
Justin Bijlow,nl NED,GK,Feyenoord,26,1998,4,4,360,8,16,8,0,0,0,0,0,6.0,12,30,205,16,21,26,2,6,0,-2.0
Kaique,br BRA,GK,Farense,21,2003,6,6,540,6,21,14,1,1,0,1,0,7.1,31,104,170,33,53,115,5,1,1,1.0999999999999996
Karl Darlow,wls WAL,GK,Leeds United,33,1990,7,7,630,3,11,9,4,0,0,0,0,2.5,25,75,197,27,33,66,7,6,0,-0.5
Kevin Chamorro,cr CRC,GK,Estoril,24,2000,4,4,360,3,12,9,2,1,1,0,0,3.7,12,57,81,11,22,46,4,13,0,0.7000000000000002
Kevin Mier,co COL,GK,Cruz Azul,24,2000,33,33,2970,27,88,61,14,4,3,1,0,25.2,115,285,1254,98,217,373,14,43,1,-1.8000000000000007
Kewin,br BRA,GK,Moreirense,28,1995,29,29,2610,42,114,72,6,3,3,0,0,39.3,154,440,789,126,229,472,36,19,0,-2.700000000000003
Keylor Navas,cr CRC,GK,Newell's OB,38-216,1986,14,14,1260,11,64,54,6,1,0,0,1,16.7,106,222,247,48,132,272,10,3,1,5.699999999999999
Kim Joonhong,kr KOR,GK,D.C. United,22-046,2003,7,7,630,17,39,22,1,2,2,0,0,15.6,51,118,174,26,50,75,5,13,0,-1.4000000000000004
Koen Van Langendonck,be BEL,GK,Westerlo,35,1989,10,10,900,16,41,24,2,3,2,1,0,16.4,53,117,278,38,80,144,7,17,1,0.3999999999999986
Kostas Lamprou,gr GRE,GK,NAC Breda,32,1991,1,1,90,3,5,2,0,0,0,0,0,2.3,8,20,53,4,3,16,0,1,0,-0.7000000000000002
Kristijan Kahlina,hr CRO,GK,Charlotte,32-360,1992,21,21,1890,35,109,74,5,6,6,0,0,33.1,59,153,550,116,106,285,12,15,0,-1.8999999999999986
Lars Unnerstall,de GER,GK,Twente,34,1990,31,31,2790,39,101,62,11,2,2,0,0,35.8,109,332,892,147,173,403,23,36,0,-3.200000000000003
Laurent Henkinet,be BEL,GK,Standard Liège,31,1992,4,4,315,1,13,12,2,0,0,0,0,2.5,19,72,76,12,27,93,9,2,0,1.5
Lautaro Morales,ar ARG,GK,Lanús,25-215,1999,1,1,90,1,2,1,0,0,0,0,0,1.0,3,6,16,2,6,7,0,0,0,0.0
Lawrence Vigouroux,cl CHI,GK,Swansea City,30,1993,46,46,4140,56,166,113,14,4,4,0,0,54.5,310,965,1772,188,229,600,40,38,0,-1.5
Lazar Carević,me MNE,GK,Famalicão,25,1999,18,18,1620,21,73,52,7,4,3,1,0,23.7,71,183,430,71,97,247,6,18,1,2.6999999999999993
