Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Miguel Ortega,mx MEX,GK,Tijuana,29,1995,3,3,270,13,54,25,11,89,91,38,45,87,56,31,90,30,9,15,45,75,35,40,10,89,65
Mika,pt POR,GK,Moreirense,33,1991,1,0,3,97,0,1,100,18,21,38,45,0,0,0,99,0,0,0,5,6,35,51,0,0,0
Mike Hauptmeijer,nl NED,GK,Zwolle,27,1997,4,4,360,35,44,36,11,82,21,38,100,50,82,78,63,85,79,95,94,16,99,22,22,56,84
Mike Penders,be BEL,GK,Genk,19,2005,11,11,989,85,12,22,72,51,59,38,45,20,72,43,87,31,13,19,85,17,35,80,74,91,91
Mirko Pigliacelli,it ITA,GK,Catanzaro,31,1993,38,38,3420,57,41,50,68,60,64,38,92,44,67,47,96,16,7,73,68,62,74,59,60,83,62
Mohamed Koné,ci CIV,GK,Charleroi,22,2002,21,21,1890,70,28,37,57,73,71,87,45,35,76,59,77,55,8,24,88,82,82,71,63,78,93
Mouhamadou Sarr,sn SEN,GK,Spezia,27,1997,4,4,360,70,35,45,50,18,21,38,45,18,79,74,18,12,45,25,90,80,35,40,70,56,95
Nahuel Guzmán,ar ARG,GK,UANL,38,1986,28,28,2519,77,33,48,62,71,71,38,94,29,73,38,74,31,52,21,35,78,79,75,76,94,49
Nahuel Losada,ar ARG,GK,Lanús,32-093,1993,16,16,1440,86,25,43,81,73,52,89,97,20,48,40,48,91,14,61,91,69,94,82,84,62,91
Nelson Insfrán,ar ARG,GK,Gimnasia–LP,30-056,1995,14,14,1260,80,36,48,80,77,55,96,45,42,79,73,31,21,58,81,79,15,95,89,72,58,66
Niccolò Chiorra,it ITA,GK,Carrarese,23,2001,2,1,158,5,63,8,11,18,21,38,45,92,5,7,40,16,46,10,5,29,35,5,1,5,5
Nicholas Hagen,gt GUA,GK,Columbus Crew,28-351,1996,3,3,270,1,97,93,11,18,21,38,45,99,0,0,9,64,28,5,45,75,35,19,13,0,83
Nicholas Hansen,dk DEN,GK,Colorado Rapids,24-009,2001,10,10,900,41,66,70,59,87,84,93,45,60,58,85,47,35,62,36,92,94,91,56,64,15,95
Nick Gillekens,be BEL,GK,Westerlo,29,1995,1,1,90,3,100,99,11,18,21,38,45,100,94,87,87,96,85,97,5,59,35,98,68,82,5
Nick Olij,nl NED,GK,Sparta R'dam,28,1995,34,34,3060,50,57,66,35,63,67,81,45,52,90,72,95,60,14,81,89,40,74,60,67,88,80
Nick Shinton,be BEL,GK,Beerschot,23,2001,21,21,1845,20,90,91,29,75,84,38,45,88,45,71,82,45,24,87,33,74,35,76,55,14,23
Nico Mantl,de GER,GK,Arouca,24,2000,29,29,2610,37,49,44,48,85,89,38,45,59,39,25,51,65,58,68,55,78,35,38,34,77,47
Nicola Ravaglia,it ITA,GK,Carrarese,35,1988,2,1,158,22,63,52,11,95,95,38,45,92,88,90,21,4,82,41,35,29,35,94,22,49,39
Nicolas Schmid,at AUT,GK,Portsmouth,27,1997,35,35,3090,41,51,54,46,37,43,38,45,57,95,98,76,4,37,43,21,97,35,46,54,29,20
Nordin Bakker,nl NED,GK,Almere City,26,1997,34,34,3050,17,83,77,41,18,21,38,45,74,92,97,71,44,65,76,87,89,35,17,35,31,80
Nordin Jackers,be BEL,GK,Club Brugge,26,1997,1,0,31,4,99,98,11,18,21,38,45,94,96,41,100,99,0,1,99,6,35,6,40,99,99
Novak Mićović,rs SRB,GK,LA Galaxy,23-267,2001,12,12,1080,31,44,31,32,18,21,38,45,71,13,43,53,42,41,30,80,18,35,47,18,7,84
Nícolas Andrade,br BRA,GK,Pisa,36,1988,1,1,90,70,44,60,11,18,21,38,45,12,62,74,30,0,9,3,5,91,35,22,76,34,5
Oliver Christensen,dk DEN,GK,Salernitana,25,1999,16,16,1440,77,18,24,74,18,21,38,45,26,76,75,48,52,55,72,86,69,35,66,57,50,79
Oliver Dovin,se SWE,GK,Coventry City,22,2002,28,28,2467,62,25,35,57,39,45,38,45,35,35,40,69,17,31,39,23,75,35,59,62,36,23
Orlando Gil,py PAR,GK,San Lorenzo,25-038,2000,17,17,1530,88,16,34,90,18,21,38,45,10,67,74,9,11,82,57,32,12,35,61,89,39,29
Ortwin De Wolf,be BEL,GK,Mechelen,27,1997,30,30,2700,45,69,78,59,68,77,38,45,67,50,49,78,81,66,72,79,44,35,77,73,50,71
Oscar Jiménez,mx MEX,GK,León,35,1988,8,8,720,43,81,82,26,18,21,38,45,52,70,50,44,71,83,26,73,33,35,44,70,83,82
Pablo Lara,mx MEX,GK,UNAM,19,2005,7,7,630,48,64,74,57,18,21,38,45,28,62,60,45,33,78,14,49,96,35,20,77,57,73
Pablo Sisniega,mx MEX,GK,San Diego FC,30-012,1995,2,2,180,70,14,15,11,94,94,38,45,59,1,2,95,97,1,4,73,59,35,90,39,4,95
Paolo Vismara,it ITA,GK,Sampdoria,21,2003,10,7,753,21,90,85,84,58,21,95,45,75,24,60,42,55,61,68,85,20,94,27,36,8,78
Patrick Schulte,us USA,GK,Columbus Crew,24-128,2001,15,15,1350,49,30,29,27,46,55,38,45,42,12,14,84,73,34,8,12,85,35,44,39,27,17
