Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Line Index,Passes Index
Neofytos Michael,CYP,Pafos FC,UEFA Champions League,GK,Goalkeeper,31,540,1,52,41
Nick Pope,ENG,Newcastle Utd,"English Premier League, UEFA Champions League",GK,Goalkeeper,33,1696,1,52,34
Nicola Leali,ITA,Genoa,Italian Serie A,GK,Goalkeeper,32,1442,1,45,40
Nikita Haikin,RUS,Bodø/Glimt,UEFA Champions League,GK,Goalkeeper,30,540,1,84,53
Niklas Hedl,AUT,Rapid Wien,UEFA Europa Conference League,GK,Goalkeeper,24,360,1,30,48
Nikola Vasilj,BIH,St. Pauli,German Bundesliga,GK,Goalkeeper,30,1350,1,75,30
Noah Atubolu,GER,Freiburg,"German Bundesliga, UEFA Europa League",GK,Goalkeeper,23,1890,1,47,70
Nordin Jackers,BEL,Club Brugge,UEFA Champions League,GK,Goalkeeper,28,432,1,19,68
Obed Nkambadio,FRA,Paris FC,French Ligue 1,GK,Goalkeeper,22,990,1,22,35
Odysseas Vlachodimos,GRE,Sevilla,Spanish La Liga,GK,Goalkeeper,31,1260,1,67,60
Ognjen Čančarević,ARM,FC Noah,UEFA Europa Conference League,GK,Goalkeeper,36,90,1,33,41
Okan Kocuk,TUR,Samsunspor,UEFA Europa Conference League,GK,Goalkeeper,30,540,1,69,52
Oliver Baumann,GER,Hoffenheim,German Bundesliga,GK,Goalkeeper,35,1350,1,50,52
Oliver Christensen,DEN,Sturm Graz,UEFA Europa League,GK,Goalkeeper,26,450,1,61,16
Oliwier Zych,POL,Raków,UEFA Europa Conference League,GK,Goalkeeper,21,360,1,57,34
Pablo Cuñat,ESP,Levante,Spanish La Liga,GK,Goalkeeper,23,180,1,57,52
Pape Mamadou Sy,SEN,Metz,French Ligue 1,GK,Goalkeeper,28,76,1,19,50
Patrik Carlgren,SWE,Nantes,French Ligue 1,GK,Goalkeeper,33,92,1,9,26
Pau López,ESP,Betis,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,30,720,1,40,45
Paul Argney,FRA,Le Havre,French Ligue 1,GK,Goalkeeper,19,90,1,55,55
Paul Gartler,AUT,Rapid Wien,UEFA Europa Conference League,GK,Goalkeeper,28,180,1,31,32
Paulo Gazzaniga,ARG,Girona,Spanish La Liga,GK,Goalkeeper,34,1482,1,61,42
Pavlo Isenko,UKR,CS U Craiova,UEFA Europa Conference League,GK,Goalkeeper,22,539,1,64,46
Peter Vindahl Jensen,DEN,Sparta Prague,UEFA Europa Conference League,GK,Goalkeeper,27,450,1,37,62
Philipp Köhn,SUI,Monaco,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,27,1261,1,52,45
Pietro Terracciano,ITA,Milan,Italian Serie A,GK,Goalkeeper,35,125,1,42,63
Péter Gulácsi,HUN,RB Leipzig,German Bundesliga,GK,Goalkeeper,35,1350,1,54,34
Radosław Majecki,POL,Brest,French Ligue 1,GK,Goalkeeper,25,864,1,20,80
Razvan Sava,ROU,Udinese,Italian Serie A,GK,Goalkeeper,23,620,1,12,31
Remko Pasveer,NED,Ajax,UEFA Champions League,GK,Goalkeeper,41,180,1,51,56
Robert Sánchez,ESP,Chelsea,"English Premier League, UEFA Champions League",GK,Goalkeeper,28,2074,1,70,63
Robin Olsen,SWE,Malmö,UEFA Europa League,GK,Goalkeeper,35,270,1,62,48
Robin Risser,FRA,Lens,French Ligue 1,GK,Goalkeeper,21,1530,1,70,41
Robin Roefs,NED,Sunderland,English Premier League,GK,Goalkeeper,22,1800,1,58,45
Robin Zentner,GER,Mainz 05,"German Bundesliga, UEFA Europa Conference League",GK,Goalkeeper,31,1079,1,35,56
Roei Mashpati,ISR,Maccabi Tel Aviv,UEFA Europa League,GK,Goalkeeper,33,540,1,42,63
Rome-Jayden Owusu-Oduro,NED,AZ Alkmaar,UEFA Europa Conference League,GK,Goalkeeper,21,540,1,63,23
Rui Silva,POR,Sporting CP,UEFA Champions League,GK,Goalkeeper,31,450,1,43,52
