Player,Game Week,Position,Team,League,Minutes,Rate
Gerónimo Rulli,J20,GK,Marseille,Ligue 1,90,5.97
Lucas Perri,J20,GK,Lyon,Ligue 1,90,6.09
Anthony Lopes,J21,GK,Nantes,Ligue 1,90,5.57
Marco Bizot,J21,GK,Brest,Ligue 1,90,8.4
Gianluigi Donnarumma,J21,GK,Paris S-G,Ligue 1,90,5.77
Radosław Majecki,J21,GK,Monaco,Ligue 1,90,3.91
Marcin Bułka,J21,GK,Nice,Ligue 1,90,8.7
Hervé Koffi,J21,GK,Lens,Ligue 1,90,5.66
Lucas Chevalier,J21,GK,Lille,Ligue 1,90,5.51
Mathieu Gorgelin,J21,GK,Le Havre,Ligue 1,90,6.75
Gautier Larsonneur,J21,GK,Saint-Étienne,Ligue 1,90,5.95
Brice Samba,J21,GK,Rennes,Ligue 1,90,8.1
Lucas Perri,J21,GK,Lyon,Ligue 1,90,7.63
Yehvann Diouf,J21,GK,Reims,Ligue 1,90,4.59
Donovan Léon,J21,GK,Auxerre,Ligue 1,90,4.9
Kjetil Haug,J21,GK,Toulouse,Ligue 1,90,4.99
Đorđe Petrović,J21,GK,Strasbourg,Ligue 1,90,7.43
Benjamin Lecomte,J21,GK,Montpellier,Ligue 1,90,5.68
Yahia Fofana,J21,GK,Angers,Ligue 1,90,5.97
Gerónimo Rulli,J21,GK,Marseille,Ligue 1,90,6.58
Mile Svilar,J6,GK,Roma,Serie A,90,6.72
Jesse Joronen,J6,GK,Venezia,Serie A,90,5.06
Marco Bizot,J22,GK,Brest,Ligue 1,90,4.94
Donovan Léon,J22,GK,Auxerre,Ligue 1,90,5.77
Gerónimo Rulli,J22,GK,Marseille,Ligue 1,90,5.96
Gautier Larsonneur,J22,GK,Saint-Étienne,Ligue 1,90,5.74
Radosław Majecki,J22,GK,Monaco,Ligue 1,90,5.78
Anthony Lopes,J22,GK,Nantes,Ligue 1,90,4.21
Guillaume Restes,J22,GK,Toulouse,Ligue 1,42,6.61
Kjetil Haug,J22,GK,Toulouse,Ligue 1,48,5.75
Matvei Safonov,J22,GK,Paris S-G,Ligue 1,90,8.39
Benjamin Lecomte,J22,GK,Montpellier,Ligue 1,90,4.22
Lucas Perri,J22,GK,Lyon,Ligue 1,90,6.61
Yehvann Diouf,J22,GK,Reims,Ligue 1,90,5.47
Yahia Fofana,J22,GK,Angers,Ligue 1,90,8.26
Hervé Koffi,J22,GK,Lens,Ligue 1,90,5.34
Đorđe Petrović,J22,GK,Strasbourg,Ligue 1,90,7.13
Mathieu Gorgelin,J22,GK,Le Havre,Ligue 1,90,4.76
Marcin Bułka,J22,GK,Nice,Ligue 1,90,5.89
Brice Samba,J22,GK,Rennes,Ligue 1,90,6.22
Lucas Chevalier,J22,GK,Lille,Ligue 1,90,6.93
Steve Mandanda,J23,GK,Rennes,Ligue 1,90,6.58
Yehvann Diouf,J23,GK,Reims,Ligue 1,90,7.38
Devis Vásquez,J6,GK,Empoli,Serie A,90,7.06
David de Gea,J6,GK,Fiorentina,Serie A,90,7.68
Lucas Chevalier,J23,GK,Lille,Ligue 1,90,6.36
Radosław Majecki,J23,GK,Monaco,Ligue 1,90,5.56
Gautier Larsonneur,J23,GK,Saint-Étienne,Ligue 1,90,4.97
Yahia Fofana,J23,GK,Angers,Ligue 1,90,4.82
Donovan Léon,J23,GK,Auxerre,Ligue 1,90,8.08
Gerónimo Rulli,J23,GK,Marseille,Ligue 1,90,4.54
Anthony Lopes,J23,GK,Nantes,Ligue 1,90,6.56
Mathew Ryan,J23,GK,Lens,Ligue 1,90,5.46
Đorđe Petrović,J23,GK,Strasbourg,Ligue 1,90,7.71
Marco Bizot,J23,GK,Brest,Ligue 1,90,8.24
Marcin Bułka,J23,GK,Nice,Ligue 1,90,7.23
Benjamin Lecomte,J23,GK,Montpellier,Ligue 1,90,5.58
Mathieu Gorgelin,J23,GK,Le Havre,Ligue 1,90,4.2
Kjetil Haug,J23,GK,Toulouse,Ligue 1,90,5.73
Lucas Perri,J23,GK,Lyon,Ligue 1,90,4.92
Gianluigi Donnarumma,J23,GK,Paris S-G,Ligue 1,90,5.91
Radosław Majecki,J24,GK,Monaco,Ligue 1,90,8.26
Yehvann Diouf,J24,GK,Reims,Ligue 1,90,6.38
Gautier Larsonneur,J24,GK,Saint-Étienne,Ligue 1,90,5.09
Marcin Bułka,J24,GK,Nice,Ligue 1,90,6.45
Elia Caprile,J6,GK,Napoli,Serie A,90,7.89
Stefano Turati,J6,GK,Monza,Serie A,90,4.58
Mathew Ryan,J24,GK,Lens,Ligue 1,90,3.75
Mathieu Gorgelin,J24,GK,Le Havre,Ligue 1,90,5.33
Gianluigi Donnarumma,J24,GK,Paris S-G,Ligue 1,90,5.35
Lucas Chevalier,J24,GK,Lille,Ligue 1,90,5.75
Lucas Perri,J24,GK,Lyon,Ligue 1,90,7.02
Marco Bizot,J24,GK,Brest,Ligue 1,90,5.49
Donovan Léon,J24,GK,Auxerre,Ligue 1,90,6.96
Đorđe Petrović,J24,GK,Strasbourg,Ligue 1,90,8.81
Benjamin Lecomte,J24,GK,Montpellier,Ligue 1,90,4.63
Brice Samba,J24,GK,Rennes,Ligue 1,90,8.76
Yahia Fofana,J24,GK,Angers,Ligue 1,90,6.46
Kjetil Haug,J24,GK,Toulouse,Ligue 1,90,7.42
Gerónimo Rulli,J24,GK,Marseille,Ligue 1,90,8.21
Anthony Lopes,J24,GK,Nantes,Ligue 1,90,6.11
Kjetil Haug,J25,GK,Toulouse,Ligue 1,90,6.99
Radosław Majecki,J25,GK,Monaco,Ligue 1,90,6.36
Brice Samba,J25,GK,Rennes,Ligue 1,90,4.77
Matvei Safonov,J25,GK,Paris S-G,Ligue 1,90,6.52
Lucas Chevalier,J25,GK,Lille,Ligue 1,90,8.3
Benjamin Lecomte,J25,GK,Montpellier,Ligue 1,90,7.27
Lorenzo Montipò,J1,GK,Hellas Verona,Serie A,90,8.24
Alex Meret,J1,GK,Napoli,Serie A,90,5.02
Zion Suzuki,J6,GK,Parma,Serie A,90,4.97
Simone Scuffet,J6,GK,Cagliari,Serie A,90,5.67
Gerónimo Rulli,J25,GK,Marseille,Ligue 1,90,5.85
Mathew Ryan,J25,GK,Lens,Ligue 1,90,9.02
Marco Bizot,J25,GK,Brest,Ligue 1,90,7.81
Yahia Fofana,J25,GK,Angers,Ligue 1,90,6.15
Anthony Lopes,J25,GK,Nantes,Ligue 1,90,5.55
Đorđe Petrović,J25,GK,Strasbourg,Ligue 1,90,7.69
Yehvann Diouf,J25,GK,Reims,Ligue 1,90,6.07
Donovan Léon,J25,GK,Auxerre,Ligue 1,90,8.54
Mathieu Gorgelin,J25,GK,Le Havre,Ligue 1,90,6.7
Gautier Larsonneur,J25,GK,Saint-Étienne,Ligue 1,90,6.54
Marcin Bułka,J25,GK,Nice,Ligue 1,90,5.41
Lucas Perri,J25,GK,Lyon,Ligue 1,90,7.69
Marcin Bułka,J26,GK,Nice,Ligue 1,90,6.42
Donovan Léon,J26,GK,Auxerre,Ligue 1,90,7.07
Anthony Lopes,J26,GK,Nantes,Ligue 1,90,8.08
Lucas Chevalier,J26,GK,Lille,Ligue 1,90,5.58
Yahia Fofana,J26,GK,Angers,Ligue 1,90,6.07
Philipp Köhn,J26,GK,Monaco,Ligue 1,90,7.33
Mathew Ryan,J26,GK,Lens,Ligue 1,90,8.4
Brice Samba,J26,GK,Rennes,Ligue 1,90,5.62
Elia Caprile,J7,GK,Napoli,Serie A,90,5.43
Emil Audero,J7,GK,Como,Serie A,90,4.59
Lucas Perri,J26,GK,Lyon,Ligue 1,90,4.91
Mathieu Gorgelin,J26,GK,Le Havre,Ligue 1,90,5.36
Marco Bizot,J26,GK,Brest,Ligue 1,90,7.74
Yehvann Diouf,J26,GK,Reims,Ligue 1,90,7.59
Đorđe Petrović,J26,GK,Strasbourg,Ligue 1,90,7.44
Kjetil Haug,J26,GK,Toulouse,Ligue 1,90,5.05
Gianluigi Donnarumma,J26,GK,Paris S-G,Ligue 1,90,5.99
Gerónimo Rulli,J26,GK,Marseille,Ligue 1,90,4.93
Đorđe Petrović,J27,GK,Strasbourg,Ligue 1,90,6.24
Lucas Perri,J27,GK,Lyon,Ligue 1,90,4.28
Yehvann Diouf,J27,GK,Reims,Ligue 1,90,7.24
Gerónimo Rulli,J27,GK,Marseille,Ligue 1,90,4.13
Gautier Larsonneur,J27,GK,Saint-Étienne,Ligue 1,90,4.53
Matvei Safonov,J27,GK,Paris S-G,Ligue 1,90,6.04
Philipp Köhn,J27,GK,Monaco,Ligue 1,90,5.68
Marcin Bułka,J27,GK,Nice,Ligue 1,90,5.77
Guillaume Restes,J27,GK,Toulouse,Ligue 1,90,3.73
Marco Bizot,J27,GK,Brest,Ligue 1,90,5.41
Arthur Desmas,J27,GK,Le Havre,Ligue 1,90,4.52
Anthony Lopes,J27,GK,Nantes,Ligue 1,90,5.43
Lorenzo Montipò,J7,GK,Hellas Verona,Serie A,90,5.84
Jesse Joronen,J7,GK,Venezia,Serie A,90,4.69
Donovan Léon,J27,GK,Auxerre,Ligue 1,90,7.59
Benjamin Lecomte,J27,GK,Montpellier,Ligue 1,90,6.86
Yahia Fofana,J27,GK,Angers,Ligue 1,90,4.78
Brice Samba,J27,GK,Rennes,Ligue 1,90,8.62
Lucas Chevalier,J27,GK,Lille,Ligue 1,90,7.75
Mathew Ryan,J27,GK,Lens,Ligue 1,90,7.3
Marcin Bułka,J28,GK,Nice,Ligue 1,90,4.69
Anthony Lopes,J28,GK,Nantes,Ligue 1,90,7.6
Gianluigi Donnarumma,J28,GK,Paris S-G,Ligue 1,90,6.58
Yahia Fofana,J28,GK,Angers,Ligue 1,90,7.6
Marco Bizot,J28,GK,Brest,Ligue 1,90,6.3
Philipp Köhn,J28,GK,Monaco,Ligue 1,90,4.97
Lucas Perri,J28,GK,Lyon,Ligue 1,90,5.95
Lucas Chevalier,J28,GK,Lille,Ligue 1,90,5.5
Mathew Ryan,J28,GK,Lens,Ligue 1,90,8.68
Gautier Larsonneur,J28,GK,Saint-Étienne,Ligue 1,90,5.64
Brice Samba,J28,GK,Rennes,Ligue 1,90,5.84
Donovan Léon,J28,GK,Auxerre,Ligue 1,90,8.33
Yehvann Diouf,J28,GK,Reims,Ligue 1,90,6.95
Đorđe Petrović,J28,GK,Strasbourg,Ligue 1,90,8.07
Maduka Okoye,J7,GK,Udinese,Serie A,90,8.16
Wladimiro Falcone,J7,GK,Lecce,Serie A,90,5.85
Benjamin Lecomte,J28,GK,Montpellier,Ligue 1,90,4.86
Mathieu Gorgelin,J28,GK,Le Havre,Ligue 1,90,8.89
Gerónimo Rulli,J28,GK,Marseille,Ligue 1,90,4.77
Guillaume Restes,J28,GK,Toulouse,Ligue 1,90,3.95
Mathew Ryan,J29,GK,Lens,Ligue 1,90,4.62
Yehvann Diouf,J29,GK,Reims,Ligue 1,90,9.19
Philipp Köhn,J29,GK,Monaco,Ligue 1,90,8.08
Gerónimo Rulli,J29,GK,Marseille,Ligue 1,90,6.73
Guillaume Restes,J29,GK,Toulouse,Ligue 1,90,4.35
Lucas Chevalier,J29,GK,Lille,Ligue 1,90,7.3
Đorđe Petrović,J29,GK,Strasbourg,Ligue 1,90,5.91
Marcin Bułka,J29,GK,Nice,Ligue 1,90,4.69
Gautier Larsonneur,J29,GK,Saint-Étienne,Ligue 1,90,5.28
Marco Bizot,J29,GK,Brest,Ligue 1,90,4.52
Yahia Fofana,J29,GK,Angers,Ligue 1,90,7.86
Benjamin Lecomte,J29,GK,Montpellier,Ligue 1,90,5.05
Mathieu Gorgelin,J29,GK,Le Havre,Ligue 1,90,3.83
Brice Samba,J29,GK,Rennes,Ligue 1,90,5.19
Donovan Léon,J29,GK,Auxerre,Ligue 1,90,5.87
Lucas Perri,J29,GK,Lyon,Ligue 1,90,5.21
Marco Carnesecchi,J7,GK,Atalanta,Serie A,90,6.09
Pierluigi Gollini,J7,GK,Genoa,Serie A,90,3.93
Brice Samba,J30,GK,Rennes,Ligue 1,90,5.81
Anthony Lopes,J30,GK,Nantes,Ligue 1,33,5.41
Patrik Carlgren,J30,GK,Nantes,Ligue 1,57,4.74
Matvei Safonov,J30,GK,Paris S-G,Ligue 1,90,5.28
Mathieu Gorgelin,J30,GK,Le Havre,Ligue 1,90,6.25
Philipp Köhn,J30,GK,Monaco,Ligue 1,90,7.22
Đorđe Petrović,J30,GK,Strasbourg,Ligue 1,90,8.26
Gerónimo Rulli,J30,GK,Marseille,Ligue 1,90,5.33
Benjamin Lecomte,J30,GK,Montpellier,Ligue 1,90,3.83
Lucas Chevalier,J30,GK,Lille,Ligue 1,90,4.96
Donovan Léon,J30,GK,Auxerre,Ligue 1,90,5.37
Marcin Bułka,J30,GK,Nice,Ligue 1,90,5.95
Yahia Fofana,J30,GK,Angers,Ligue 1,90,6.89
Yehvann Diouf,J30,GK,Reims,Ligue 1,90,8.13
Guillaume Restes,J30,GK,Toulouse,Ligue 1,90,5.7
Marco Bizot,J30,GK,Brest,Ligue 1,90,5.28
Mathew Ryan,J30,GK,Lens,Ligue 1,90,7.16
Gautier Larsonneur,J30,GK,Saint-Étienne,Ligue 1,90,5.5
Rémy Descamps,J30,GK,Lyon,Ligue 1,90,4.74
Patrik Carlgren,J29,GK,Nantes,Ligue 1,90,6.86
Gianluigi Donnarumma,J29,GK,Paris S-G,Ligue 1,90,5.89
Yann Sommer,J7,GK,Inter,Serie A,90,5.1
Vanja Milinković-Savić,J7,GK,Torino,Serie A,90,5.77
Gianluigi Donnarumma,J31,GK,Paris S-G,Ligue 1,90,3.78
Marcin Bułka,J31,GK,Nice,Ligue 1,90,7.72
Đorđe Petrović,J31,GK,Strasbourg,Ligue 1,90,7.1
Gautier Larsonneur,J31,GK,Saint-Étienne,Ligue 1,90,5.74
Mathieu Gorgelin,J31,GK,Le Havre,Ligue 1,90,7.33
Philipp Köhn,J31,GK,Monaco,Ligue 1,90,6.13
Lucas Perri,J31,GK,Lyon,Ligue 1,90,5.75
Brice Samba,J31,GK,Rennes,Ligue 1,90,4.07
Yahia Fofana,J31,GK,Angers,Ligue 1,90,5.15
Lucas Chevalier,J31,GK,Lille,Ligue 1,90,8.43
Benjamin Lecomte,J31,GK,Montpellier,Ligue 1,90,8.24
Yehvann Diouf,J31,GK,Reims,Ligue 1,90,7.71
Anthony Lopes,J31,GK,Nantes,Ligue 1,90,7.7
Guillaume Restes,J31,GK,Toulouse,Ligue 1,90,7.6
Mathew Ryan,J31,GK,Lens,Ligue 1,90,4.1
Donovan Léon,J31,GK,Auxerre,Ligue 1,90,9.03
Gerónimo Rulli,J31,GK,Marseille,Ligue 1,90,6.83
Grégoire Coudert,J31,GK,Brest,Ligue 1,90,4.09
Marcin Bułka,J32,GK,Nice,Ligue 1,90,7.95
Yehvann Diouf,J32,GK,Reims,Ligue 1,90,6.0
Michele Di Gregorio,J7,GK,Juventus,Serie A,90,6.22
Simone Scuffet,J7,GK,Cagliari,Serie A,90,6.59
Đorđe Petrović,J32,GK,Strasbourg,Ligue 1,90,6.32
Matvei Safonov,J32,GK,Paris S-G,Ligue 1,90,4.49
Guillaume Restes,J32,GK,Toulouse,Ligue 1,90,7.21
Brice Samba,J32,GK,Rennes,Ligue 1,90,5.6
Gautier Larsonneur,J32,GK,Saint-Étienne,Ligue 1,90,4.67
Philipp Köhn,J32,GK,Monaco,Ligue 1,90,5.48
Anthony Lopes,J32,GK,Nantes,Ligue 1,90,5.08
Yahia Fofana,J32,GK,Angers,Ligue 1,90,8.6
Donovan Léon,J32,GK,Auxerre,Ligue 1,90,6.11
Mathieu Gorgelin,J32,GK,Le Havre,Ligue 1,90,5.53
Marco Bizot,J32,GK,Brest,Ligue 1,90,7.64
Benjamin Lecomte,J32,GK,Montpellier,Ligue 1,90,6.73
Lucas Perri,J32,GK,Lyon,Ligue 1,90,4.43
Mathew Ryan,J32,GK,Lens,Ligue 1,90,5.71
Lucas Chevalier,J32,GK,Lille,Ligue 1,90,6.28
Gerónimo Rulli,J32,GK,Marseille,Ligue 1,90,5.5
Marco Bizot,J33,GK,Brest,Ligue 1,90,8.65
Lucas Chevalier,J33,GK,Lille,Ligue 1,90,5.61
Philipp Köhn,J33,GK,Monaco,Ligue 1,90,8.74
Lucas Perri,J33,GK,Lyon,Ligue 1,90,4.92
Ivan Provedel,J7,GK,Lazio,Serie A,90,5.66
Devis Vásquez,J7,GK,Empoli,Serie A,90,5.6
Donovan Léon,J33,GK,Auxerre,Ligue 1,90,5.62
Anthony Lopes,J33,GK,Nantes,Ligue 1,90,6.08
Yahia Fofana,J33,GK,Angers,Ligue 1,90,5.33
Đorđe Petrović,J33,GK,Strasbourg,Ligue 1,90,4.91
Benjamin Lecomte,J33,GK,Montpellier,Ligue 1,90,4.15
Arnau Tenas,J33,GK,Paris S-G,Ligue 1,90,6.88
Brice Samba,J33,GK,Rennes,Ligue 1,90,8.96
Marcin Bułka,J33,GK,Nice,Ligue 1,90,5.09
Yehvann Diouf,J33,GK,Reims,Ligue 1,90,4.87
Gautier Larsonneur,J33,GK,Saint-Étienne,Ligue 1,90,8.19
Mathieu Gorgelin,J33,GK,Le Havre,Ligue 1,90,5.42
Gerónimo Rulli,J33,GK,Marseille,Ligue 1,90,5.5
Guillaume Restes,J33,GK,Toulouse,Ligue 1,90,5.33
Mathew Ryan,J33,GK,Lens,Ligue 1,90,6.47
Gautier Larsonneur,J34,GK,Saint-Étienne,Ligue 1,90,5.27
Guillaume Restes,J34,GK,Toulouse,Ligue 1,90,5.47
Gianluigi Donnarumma,J34,GK,Paris S-G,Ligue 1,90,5.36
Donovan Léon,J34,GK,Auxerre,Ligue 1,90,6.1
Lucas Perri,J34,GK,Lyon,Ligue 1,90,7.84
Melvin Zinga,J34,GK,Angers,Ligue 1,90,5.98
Federico Ravaglia,J7,GK,Bologna,Serie A,90,7.48
Zion Suzuki,J7,GK,Parma,Serie A,90,8.41
Đorđe Petrović,J34,GK,Strasbourg,Ligue 1,90,5.41
Mathieu Gorgelin,J34,GK,Le Havre,Ligue 1,90,5.2
Mathew Ryan,J34,GK,Lens,Ligue 1,90,8.3
Philipp Köhn,J34,GK,Monaco,Ligue 1,90,4.33
Gerónimo Rulli,J34,GK,Marseille,Ligue 1,90,5.31
Brice Samba,J34,GK,Rennes,Ligue 1,89,5.51
Anthony Lopes,J34,GK,Nantes,Ligue 1,90,6.95
Dimitry Bertaud,J34,GK,Montpellier,Ligue 1,90,4.48
Marcin Bułka,J34,GK,Nice,Ligue 1,90,7.32
Marco Bizot,J34,GK,Brest,Ligue 1,90,4.44
Lucas Chevalier,J34,GK,Lille,Ligue 1,90,4.99
Yehvann Diouf,J34,GK,Reims,Ligue 1,90,5.7
Jonas Omlin,J1,GK,Gladbach,Bundesliga,90,4.68
Lukáš Hrádecký,J1,GK,Leverkusen,Bundesliga,90,5.9
Oliver Baumann,J1,GK,Hoffenheim,Bundesliga,90,5.48
Timon Weiner,J1,GK,Holstein Kiel,Bundesliga,90,6.41
Robin Zentner,J1,GK,Mainz 05,Bundesliga,90,6.69
Frederik Rønnow,J1,GK,Union Berlin,Bundesliga,90,6.21
Nediljko Labrović,J1,GK,Augsburg,Bundesliga,90,4.81
Michael Zetterer,J1,GK,Werder Bremen,Bundesliga,90,5.12
Semuel Pizzignacco,J7,GK,Monza,Serie A,90,6.53
Mile Svilar,J7,GK,Roma,Serie A,90,6.17
Florian Müller,J1,GK,Freiburg,Bundesliga,90,5.71
Alexander Nübel,J1,GK,Stuttgart,Bundesliga,90,4.14
Péter Gulácsi,J1,GK,RB Leipzig,Bundesliga,90,8.26
Patrick Drewes,J1,GK,Bochum,Bundesliga,90,5.94
Gregor Kobel,J1,GK,Dortmund,Bundesliga,90,7.78
Kevin Trapp,J1,GK,Eint Frankfurt,Bundesliga,90,4.91
Kamil Grabara,J1,GK,Wolfsburg,Bundesliga,90,5.23
Manuel Neuer,J1,GK,Bayern Munich,Bundesliga,90,5.38
Nikola Vasilj,J1,GK,St. Pauli,Bundesliga,90,5.23
Kevin Müller,J1,GK,Heidenheim,Bundesliga,90,8.56
Frederik Rønnow,J2,GK,Union Berlin,Bundesliga,90,7.7
Nikola Vasilj,J2,GK,St. Pauli,Bundesliga,90,6.05
Michael Zetterer,J2,GK,Werder Bremen,Bundesliga,90,8.19
Gregor Kobel,J2,GK,Dortmund,Bundesliga,90,6.91
Kevin Trapp,J2,GK,Eint Frankfurt,Bundesliga,90,6.15
Oliver Baumann,J2,GK,Hoffenheim,Bundesliga,90,5.19
Patrick Drewes,J2,GK,Bochum,Bundesliga,90,6.71
Jonas Omlin,J2,GK,Gladbach,Bundesliga,90,8.39
Timon Weiner,J2,GK,Holstein Kiel,Bundesliga,90,5.03
Kamil Grabara,J2,GK,Wolfsburg,Bundesliga,90,8.53
Simone Scuffet,J1,GK,Cagliari,Serie A,90,8.26
Mile Svilar,J1,GK,Roma,Serie A,90,7.22
David de Gea,J7,GK,Fiorentina,Serie A,90,7.34
Mike Maignan,J7,GK,Milan,Serie A,90,4.78
Alexander Nübel,J2,GK,Stuttgart,Bundesliga,90,4.78
Robin Zentner,J2,GK,Mainz 05,Bundesliga,90,5.24
Matej Kovar,J2,GK,Leverkusen,Bundesliga,90,4.22
Péter Gulácsi,J2,GK,RB Leipzig,Bundesliga,90,5.12
Kevin Müller,J2,GK,Heidenheim,Bundesliga,90,7.38
Nediljko Labrović,J2,GK,Augsburg,Bundesliga,90,4.24
Manuel Neuer,J2,GK,Bayern Munich,Bundesliga,90,7.4
Florian Müller,J2,GK,Freiburg,Bundesliga,90,4.79
Gregor Kobel,J3,GK,Dortmund,Bundesliga,90,5.06
Kevin Müller,J3,GK,Heidenheim,Bundesliga,90,4.14
Péter Gulácsi,J3,GK,RB Leipzig,Bundesliga,90,7.44
Frederik Rønnow,J3,GK,Union Berlin,Bundesliga,90,8.39
Jonas Omlin,J3,GK,Gladbach,Bundesliga,90,5.33
Alexander Nübel,J3,GK,Stuttgart,Bundesliga,90,7.65
Noah Atubolu,J3,GK,Freiburg,Bundesliga,90,7.61
Patrick Drewes,J3,GK,Bochum,Bundesliga,90,7.19
Kamil Grabara,J3,GK,Wolfsburg,Bundesliga,90,6.08
Kevin Trapp,J3,GK,Eint Frankfurt,Bundesliga,45,6.83
Kauã Santos,J3,GK,Eint Frankfurt,Bundesliga,45,5.14
Oliver Baumann,J3,GK,Hoffenheim,Bundesliga,90,5.26
Lukáš Hrádecký,J3,GK,Leverkusen,Bundesliga,90,5.8
Nicola Leali,J8,GK,Genoa,Serie A,90,5.48
Federico Ravaglia,J8,GK,Bologna,Serie A,90,4.96
Timon Weiner,J3,GK,Holstein Kiel,Bundesliga,90,4.65
Manuel Neuer,J3,GK,Bayern Munich,Bundesliga,90,5.02
Nediljko Labrović,J3,GK,Augsburg,Bundesliga,90,6.28
Nikola Vasilj,J3,GK,St. Pauli,Bundesliga,90,5.96
Robin Zentner,J3,GK,Mainz 05,Bundesliga,90,5.41
Michael Zetterer,J3,GK,Werder Bremen,Bundesliga,90,6.74
Nediljko Labrović,J4,GK,Augsburg,Bundesliga,90,4.16
Robin Zentner,J4,GK,Mainz 05,Bundesliga,90,6.98
Frederik Rønnow,J4,GK,Union Berlin,Bundesliga,90,5.57
Oliver Baumann,J4,GK,Hoffenheim,Bundesliga,90,5.24
Patrick Drewes,J4,GK,Bochum,Bundesliga,90,5.56
Timon Weiner,J4,GK,Holstein Kiel,Bundesliga,90,5.24
Kevin Müller,J4,GK,Heidenheim,Bundesliga,90,4.81
Noah Atubolu,J4,GK,Freiburg,Bundesliga,90,7.36
Michael Zetterer,J4,GK,Werder Bremen,Bundesliga,90,4.59
Sven Ulreich,J4,GK,Bayern Munich,Bundesliga,90,7.23
Kauã Santos,J4,GK,Eint Frankfurt,Bundesliga,90,8.56
Moritz Nicolas,J4,GK,Gladbach,Bundesliga,90,5.52
Lukáš Hrádecký,J4,GK,Leverkusen,Bundesliga,90,4.09
Kamil Grabara,J4,GK,Wolfsburg,Bundesliga,90,4.28
Emil Audero,J8,GK,Como,Serie A,90,5.8
Zion Suzuki,J8,GK,Parma,Serie A,90,6.1
Alexander Nübel,J4,GK,Stuttgart,Bundesliga,90,5.66
Gregor Kobel,J4,GK,Dortmund,Bundesliga,90,4.2
Nikola Vasilj,J4,GK,St. Pauli,Bundesliga,90,8.04
Péter Gulácsi,J4,GK,RB Leipzig,Bundesliga,90,8.42
Gregor Kobel,J5,GK,Dortmund,Bundesliga,90,5.14
Patrick Drewes,J5,GK,Bochum,Bundesliga,90,4.75
Robin Zentner,J5,GK,Mainz 05,Bundesliga,90,5.73
Kevin Müller,J5,GK,Heidenheim,Bundesliga,90,7.76
Noah Atubolu,J5,GK,Freiburg,Bundesliga,90,4.18
Nikola Vasilj,J5,GK,St. Pauli,Bundesliga,90,8.58
Péter Gulácsi,J5,GK,RB Leipzig,Bundesliga,90,7.81
Nediljko Labrović,J5,GK,Augsburg,Bundesliga,90,4.81
Moritz Nicolas,J5,GK,Gladbach,Bundesliga,90,8.1
Frederik Rønnow,J5,GK,Union Berlin,Bundesliga,90,5.02
Kamil Grabara,J5,GK,Wolfsburg,Bundesliga,90,5.25
Alexander Nübel,J5,GK,Stuttgart,Bundesliga,90,4.93
Manuel Neuer,J5,GK,Bayern Munich,Bundesliga,90,5.6
Lukáš Hrádecký,J5,GK,Leverkusen,Bundesliga,90,5.92
Timon Weiner,J5,GK,Holstein Kiel,Bundesliga,90,4.19
Kauã Santos,J5,GK,Eint Frankfurt,Bundesliga,90,5.19
Mike Maignan,J8,GK,Milan,Serie A,90,7.74
Maduka Okoye,J8,GK,Udinese,Serie A,90,6.35
Oliver Baumann,J5,GK,Hoffenheim,Bundesliga,90,5.62
Michael Zetterer,J5,GK,Werder Bremen,Bundesliga,90,4.51
Nediljko Labrović,J6,GK,Augsburg,Bundesliga,90,5.91
Moritz Nicolas,J6,GK,Gladbach,Bundesliga,90,4.95
Patrick Drewes,J6,GK,Bochum,Bundesliga,90,5.22
Kamil Grabara,J6,GK,Wolfsburg,Bundesliga,90,7.56
Frederik Rønnow,J6,GK,Union Berlin,Bundesliga,90,7.43
Gregor Kobel,J6,GK,Dortmund,Bundesliga,90,5.46
Michael Zetterer,J6,GK,Werder Bremen,Bundesliga,90,5.76
Noah Atubolu,J6,GK,Freiburg,Bundesliga,90,8.7
Lukáš Hrádecký,J6,GK,Leverkusen,Bundesliga,90,4.98
Timon Weiner,J6,GK,Holstein Kiel,Bundesliga,90,5.15
Nikola Vasilj,J6,GK,St. Pauli,Bundesliga,90,4.12
Robin Zentner,J6,GK,Mainz 05,Bundesliga,90,8.32
Kevin Müller,J6,GK,Heidenheim,Bundesliga,90,5.57
Péter Gulácsi,J6,GK,RB Leipzig,Bundesliga,90,8.71
Kauã Santos,J6,GK,Eint Frankfurt,Bundesliga,90,6.18
Manuel Neuer,J6,GK,Bayern Munich,Bundesliga,90,4.06
Alexander Nübel,J6,GK,Stuttgart,Bundesliga,90,5.5
Oliver Baumann,J6,GK,Hoffenheim,Bundesliga,90,7.33
Michele Di Gregorio,J8,GK,Juventus,Serie A,90,7.37
Ivan Provedel,J8,GK,Lazio,Serie A,90,6.12
Gregor Kobel,J7,GK,Dortmund,Bundesliga,90,5.21
Nikola Vasilj,J7,GK,St. Pauli,Bundesliga,90,5.9
Lukáš Hrádecký,J7,GK,Leverkusen,Bundesliga,90,5.61
Kevin Trapp,J7,GK,Eint Frankfurt,Bundesliga,90,6.32
Robin Zentner,J7,GK,Mainz 05,Bundesliga,90,5.16
Péter Gulácsi,J7,GK,RB Leipzig,Bundesliga,90,7.86
Noah Atubolu,J7,GK,Freiburg,Bundesliga,90,6.46
Nediljko Labrović,J7,GK,Augsburg,Bundesliga,90,4.68
