Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Aritz Elustondo,Real Sociedad,Spanish La Liga,CB,Defender,ESP,31,32.4,337,8,4.05
Arjan Malic,Sturm Graz,UEFA Europa League,RB,Defender,BIH,20,18.0,209,3,6.0
Arkadiusz Pyrka,St. Pauli,German Bundesliga,WB,Midfielder,POL,23,53.6,870,12,4.47
Arkadiusz Reca,Legia Warsaw,UEFA Europa Conference League,LB,Defender,POL,30,21.0,264,4,5.25
Arkaitz Mariezkurrena,Real Sociedad,Spanish La Liga,AM,Forward,ESP,20,0.0,1,1,0.0
Arlet Zé,Basel,UEFA Europa League,LW,Forward,SUI,19,5.5,57,1,5.5
Armand Lauriente,Sassuolo,Italian Serie A,LW,Forward,FRA,27,95.4,1061,18,5.3
Armando Broja,Burnley,English Premier League,AM,Forward,ALB,24,40.2,559,14,2.87
Armando Obispo,PSV Eindhoven,UEFA Champions League,CB,Defender,NED,26,18.6,187,4,4.65
Armel Bella Kotchap,Hellas Verona,Italian Serie A,CB,Defender,GER,24,53.9,864,12,4.49
Armin Gigovic,Young Boys,UEFA Europa League,AM,Forward,BIH,23,21.4,238,4,5.35
Armindo Sieb,Mainz 05,"German Bundesliga, UEFA Europa Conference League",AM,Forward,GER,22,63.4,494,15,4.23
Arnau Martinez,Girona,Spanish La Liga,RB,Defender,ESP,22,87.9,1101,16,5.49
Arnaud Kalimuendo,Nott'ham Forest,"English Premier League, UEFA Europa League",AM,Forward,FRA,23,31.6,348,12,2.63
Arnaud Nordin,Mainz 05,"German Bundesliga, UEFA Europa Conference League",AM,Forward,FRA,27,54.7,637,14,3.91
Arnaut Danjuma,Valencia,Spanish La Liga,AM,Forward,NED,28,69.9,1096,17,4.11
Arne Engels,Celtic,UEFA Europa League,DM,Forward,BEL,22,23.2,390,6,3.87
Arne Maier,Augsburg,German Bundesliga,WB,Midfielder,GER,26,4.9,4,1,4.9
Arnór Gauti Jónsson,Breiðablik,UEFA Europa Conference League,CM,Midfielder,ISL,23,14.8,343,5,2.96
Aron Bjarnason,Breiðablik,UEFA Europa Conference League,LW,Forward,ISL,30,20.9,205,5,4.18
Aron Dønnum,Toulouse,French Ligue 1,RM,Midfielder,NOR,27,81.2,1246,14,5.8
Arouna Sangante,Le Havre,French Ligue 1,CB,Defender,SEN,23,70.1,1314,15,4.67
Arsen Zakharyan,Real Sociedad,Spanish La Liga,LM,Midfielder,RUS,22,43.6,291,12,3.63
Arsène Kouassi,Lorient,French Ligue 1,LM,Midfielder,BFA,21,69.7,1362,16,4.36
Artem Avanesyan,FC Noah,UEFA Europa Conference League,RW,Forward,ARM,26,1.7,3,1,1.7
Artem Bondarenko,Shakhtar,UEFA Europa Conference League,CM,Midfielder,UKR,25,20.0,187,4,5.0
Artem Dovbyk,Roma,"Italian Serie A, UEFA Europa League",AM,Forward,UKR,28,58.7,604,16,3.67
Artemijus Tutyškinas,NK Celje,UEFA Europa Conference League,CB,Defender,LTU,22,25.6,402,5,5.12
Arthur,Leverkusen,"German Bundesliga, UEFA Champions League",WB,Midfielder,BRA,22,47.7,895,12,3.98
Arthur Atta,Udinese,Italian Serie A,CM,Midfielder,FRA,22,64.4,1105,13,4.95
Arthur Avom,Lorient,French Ligue 1,CM,Midfielder,CMR,20,49.4,716,9,5.49
Arthur Avom Ebong,Lorient,French Ligue 1,CM,Midfielder,CMR,20,38.8,553,7,5.54
Arthur Chaves,Hoffenheim,German Bundesliga,CB,Defender,BRA,24,16.2,240,4,4.05
Arthur Masuaku,Sunderland,English Premier League,LB,Defender,COD,31,14.3,127,3,4.77
Arthur Theate,Eint Frankfurt,"German Bundesliga, UEFA Champions League",CB,Defender,BEL,25,99.3,1800,20,4.96
Arthur Vermeeren,Marseille,"French Ligue 1, UEFA Champions League",DM,Midfielder,BEL,20,63.1,887,15,4.21
Arttu Lötjönen,KuPS,UEFA Europa Conference League,RB,Defender,FIN,21,2.3,2,1,2.3
Artur Gajdoš,Slovan Bratislava,UEFA Europa Conference League,AM,Midfielder,SVK,21,8.4,66,3,2.8
Artur Jędrzejczyk,Legia Warsaw,UEFA Europa Conference League,CB,Defender,POL,37,5.4,90,1,5.4
Arturo Calabresi,Pisa,Italian Serie A,CB,Defender,ITA,29,42.7,608,13,3.28
Artūr Dolžnikov,Sigma Olomouc,UEFA Europa Conference League,RW,Forward,LTU,25,19.9,194,6,3.32
Asger Sørensen,Sparta Prague,UEFA Europa Conference League,CB,Defender,DEN,29,16.0,238,3,5.33
Ashley Barnes,Burnley,English Premier League,AM,Forward,ENG,36,5.1,11,2,2.55
Asier Hierro,Athletic Club,UEFA Champions League,AM,Forward,ESP,20,9.4,31,2,4.7
Asier Osambela,Osasuna,Spanish La Liga,CB,Defender,ESP,21,21.8,212,6,3.63
Aske Adelgaard,Go Ahead Eag,UEFA Europa League,LW,Forward,DEN,22,8.0,80,4,2.0
Assad Al Hamalawi,CS U Craiova,UEFA Europa Conference League,AM,Forward,PLE,25,20.5,350,5,4.1
Assan Ouedraogo,RB Leipzig,German Bundesliga,RM,Midfielder,GER,19,45.7,551,11,4.15
Assane Diao,Como,Italian Serie A,LW,Forward,SEN,20,25.7,314,6,4.28
Assane Dioussé,Auxerre,French Ligue 1,CM,Midfielder,SEN,28,31.9,196,11,2.9
Aster Vranckx,Sassuolo,Italian Serie A,RM,Midfielder,BEL,23,31.4,508,10,3.14
Atakan Karazor,Stuttgart,"German Bundesliga, UEFA Europa League",CM,Midfielder,NAN,29,51.2,1005,17,3.01
Atdhe Mazari,Shkëndija 79,UEFA Europa Conference League,LW,Forward,ALB,24,4.5,27,3,1.5
Aurele Amenda,Eint Frankfurt,"German Bundesliga, UEFA Champions League",CB,Defender,SUI,22,44.9,380,11,4.08
Aurélien Tchouaméni,Real Madrid,"Spanish La Liga, UEFA Champions League",CM,Midfielder,FRA,25,107.2,1914,23,4.66
Aurélio Buta,Eint Frankfurt,"German Bundesliga, UEFA Champions League",RB,Defender,POR,28,16.2,156,5,3.24
Auston Trusty,Celtic,UEFA Europa League,CB,Defender,USA,27,11.7,270,3,3.9
Axel Camblan,Brest,French Ligue 1,LW,Forward,FRA,21,2.2,12,1,2.2
Axel Kayombo,Sturm Graz,UEFA Europa League,AM,Forward,FRA,19,9.1,98,4,2.28
Axel Tapé,Leverkusen,"German Bundesliga, UEFA Champions League",WB,Midfielder,FRA,18,16.1,219,6,2.68
Axel Tuanzebe,Burnley,English Premier League,CB,Defender,COD,28,32.7,706,8,4.09
