Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Gabriel Kobylak,Legia Warsaw,UEFA Europa Conference League,GK,Goalkeeper,POL,23,3.12,90,1,3.12
Gerónimo Rulli,Marseille,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,ARG,33,125.55,1800,20,6.28
Gianluigi Donnarumma,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,ITA,26,121.81,2070,23,5.3
Giorgi Mamardashvili,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,GEO,25,40.5,755,9,4.5
Goran Karaćić,Zrinjski Mostar,UEFA Europa Conference League,GK,Goalkeeper,BIH,29,20.79,360,4,5.2
Gregor Kobel,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,SUI,28,118.28,1980,22,5.38
Grégoire Coudert,Brest,French Ligue 1,GK,Goalkeeper,FRA,26,51.02,662,8,6.38
Guglielmo Vicario,Tottenham,"English Premier League, UEFA Champions League",GK,Goalkeeper,ITA,29,161.06,2430,27,5.97
Guillaume Restes,Toulouse,French Ligue 1,GK,Goalkeeper,FRA,20,92.63,1530,17,5.45
Günay Güvenç,Galatasaray,UEFA Champions League,GK,Goalkeeper,TUR,34,2.92,23,1,2.92
Hendrik Bonmann,Ludogorets,UEFA Europa League,GK,Goalkeeper,GER,31,22.11,270,3,7.37
Hendrik Van Crombrugge,Genk,UEFA Europa League,GK,Goalkeeper,BEL,32,39.32,540,6,6.55
Henry Bonello,Ħamrun Spartans FC,UEFA Europa Conference League,GK,Goalkeeper,MLT,37,38.72,540,6,6.45
Hervé Koffi,Angers,French Ligue 1,GK,Goalkeeper,BFA,29,98.3,1350,15,6.55
Ionuț Radu,Celta Vigo,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,ROU,28,123.16,2070,23,5.35
Ivan Filipović,Dinamo Zagreb,UEFA Europa League,GK,Goalkeeper,CRO,31,8.12,180,2,4.06
Ivan Nevistić,Dinamo Zagreb,UEFA Europa League,GK,Goalkeeper,CRO,27,17.71,360,4,4.43
Ivan Provedel,Lazio,Italian Serie A,GK,Goalkeeper,ITA,31,133.1,1800,20,6.65
Iván Villar,Celta Vigo,UEFA Europa League,GK,Goalkeeper,ESP,28,9.34,180,2,4.67
Iñaki Peña,Elche,Spanish La Liga,GK,Goalkeeper,ESP,26,76.86,1080,12,6.4
Jack Butland,Rangers,UEFA Europa League,GK,Goalkeeper,ENG,32,35.13,540,6,5.86
