Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
at AUT,GK,at LASK,23,2000,6,6,540,42,38
it ITA,GK,Fiorentina,17,2006,1,1,90,15,52
cz CZE,GK,Augsburg,30,1992,3,3,270,45,51
es ESP,GK,Real Sociedad,21,2001,2,1,142,31,52
es ESP,GK,Athletic Club,26,1997,36,36,3182,65,59
rs SRB,GK,Torino,26,1997,36,36,3240,63,72
br BRA,GK,cy Aris Limassol FC,32,1991,6,6,540,60,51
rs SRB,GK,rs TSC,20,2003,5,5,450,39,40
es ESP,GK,Celta Vigo,36,1987,27,26,2403,56,55
cz CZE,GK,cz Viktoria Plzeň,18,2005,3,3,270,55,44
it ITA,GK,Salernitana,33,1990,4,4,360,47,53
cz CZE,GK,at Sturm Graz,22,2001,4,4,360,62,34
it ITA,GK,Lille,35,1988,5,4,361,60,25
ba BIH,GK,pl Raków,25,1998,6,6,540,62,51
ar ARG,GK,nl PSV Eindhoven,30,1993,8,8,720,33,43
eng ENG,GK,Sheffield Utd,32,1991,30,29,2649,54,62
it ITA,GK,Lecce,28,1995,38,38,3420,55,39
pl POL,GK,Juventus,33,1990,35,35,3150,55,40
ch SUI,GK,it Inter,34,1988,41,41,3720,62,39
ma MAR,GK,Sevilla,32,1991,1,1,90,15,58
sn SEN,GK,Reims,23,1999,34,34,3060,56,46
ru RUS,GK,gr Panathinaikos,33,1990,1,1,90,24,40
ch SUI,GK,Lorient,29,1994,34,34,3060,54,48
es ESP,GK,Real Sociedad,28,1995,45,45,3995,60,50
es ESP,GK,Las Palmas,26,1997,37,37,3263,64,50
no NOR,GK,Sevilla,32,1990,26,26,2340,58,67
rs SRB,GK,Chelsea,23,1999,23,22,1987,51,38
tr TUR,GK,tr Fenerbahçe,25,1998,4,4,360,60,42
pl POL,GK,West Ham,38,1985,19,16,1531,59,55
pl POL,GK,Bologna,32,1991,32,32,2880,55,34
