Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
Tosin Adarabioyo,eng ENG,DF,Fulham,25,1997,20,18,1617,66,38,38,48
Tosin Aiyegun,bj BEN,MO,Lorient,25,1998,19,10,902,43,20,33,33
Toti Gomes,pt POR,DF,Wolves,24,1999,35,31,2772,47,44,47,46
Trent Alexander-Arnold,eng ENG,DF,Liverpool,24,1998,33,28,2433,86,94,87,50
Trevoh Chalobah,eng ENG,DF,Chelsea,24,1999,13,10,952,60,44,40,55
Triantafyllos Pasaridīs,gr GRE,DF,Salernitana,27,1996,8,5,452,42,48,22,62
Tristan Gooijer,nl NED,MF,nl Ajax,18,2004,3,2,191,47,36,77,71
Trivante Stewart,jm JAM,MO,Salernitana,23,2000,4,0,100,31,13,42,22
Trévis Dago,ci CIV,MO,Lille,18,2005,4,0,23,62,46,52,38
Tsuyoshi Watanabe,jp JPN,DF,be Gent,26,1997,8,8,720,33,56,45,46
Tuomas Ollila,fi FIN,MF,fi HJK,23,2000,4,1,184,33,40,29,25
Tuta,br BRA,DF,de Eint Frankfurt,24,1999,36,35,2969,69,72,54,63
Tyler Adams,us USA,MF,Bournemouth,24,1999,3,1,121,50,40,59,84
Tyler Onyango,eng ENG,MF,Everton,20,2003,1,0,1,28,10,7,7
Tyrick Mitchell,eng ENG,MF,Crystal Palace,23,1999,37,37,3204,58,43,47,66
Tyrone Mings,eng ENG,DF,Aston Villa,30,1993,1,1,30,64,59,8,38
Tyronne Ebuehi,ng NGA,DF,Empoli,27,1995,15,11,1099,45,59,71,26
Téji Savanier,fr FRA,MF,Montpellier,31,1991,32,32,2765,77,87,73,34
Tïmwr Dosmagambetov,kz KAZ,MF,kz Astana FK,34,1989,5,2,252,35,58,40,31
Ulisses Garcia,ch SUI,DF,ch Young Boys,27,1996,19,16,1408,54,73,89,63
Ulrik Saltnes,no NOR,MF,no Bodø/Glimt,30,1992,8,3,378,85,74,62,37
Umar Sadiq,ng NGA,FW,es Real Sociedad,26,1997,30,13,1179,44,46,57,64
Umut Nayir,tr TUR,MO,tr Fenerbahçe,30,1993,5,0,72,27,9,12,30
Umut Tohumcu,de GER,MF,Hoffenheim,18,2004,20,12,1011,37,69,47,34
Unai García,es ESP,DF,Osasuna,31,1992,9,6,560,63,19,20,58
Unai Gómez,es ESP,MF,Athletic Club,20,2003,25,9,875,76,40,69,44
Unai López,es ESP,MF,Rayo Vallecano,27,1995,35,28,2108,54,72,54,41
Unai Marrero,es ESP,GK,Real Sociedad,21,2001,2,1,142,59,59,43,34
Unai Núñez,es ESP,DF,Celta Vigo,26,1997,34,31,2801,53,46,37,58
Unai Ropero,es ESP,MF,Alavés,21,2001,1,0,5,42,12,7,7
Unai Simón,es ESP,GK,Athletic Club,26,1997,36,36,3182,56,54,43,78
Uran Bislimi,ch SUI,MF,ch Lugano,23,1999,6,6,486,50,64,68,24
Urko González,es ESP,MF,Real Sociedad,22,2001,5,2,156,21,27,23,45
Uroš Kabić,rs SRB,DF,rs Red Star,19,2004,1,0,13,29,11,8,28
Uroš Milovanović,rs SRB,FW,rs TSC,22,2000,3,3,220,16,26,17,64
Uroš Račić,rs SRB,MF,Sassuolo,25,1998,22,8,820,60,47,32,37
Uroš Spajić,rs SRB,DF,rs Red Star,30,1993,1,1,64,29,14,8,18
Valdemar Lund,dk DEN,DF,dk FC Copenhagen,20,2003,2,0,29,50,36,14,8
Valentin Atangana Edoa,fr FRA,MF,Reims,17,2005,15,7,555,29,33,52,71
Valentin Carboni,ar ARG,MO,Monza,18,2005,31,10,1169,49,66,71,58
Valentin Gendrey,fr FRA,DF,Lecce,23,2000,37,35,3044,73,64,68,51
Valentin Rongier,fr FRA,MF,Marseille,28,1994,13,13,1121,42,68,52,60
Valentin Rosier,fr FRA,DF,tr Beşiktaş,26,1996,6,3,241,55,60,77,58
Valentino Lazaro,at AUT,MF,Torino,27,1996,35,21,1994,45,69,71,28
Valentino Livramento,eng ENG,MF,eng Newcastle Utd,20,2002,29,15,1584,70,54,76,58
Valentín Barco,ar ARG,MF,Brighton,19,2004,6,3,307,39,56,69,60
Valentín Castellanos,ar ARG,FW,it Lazio,24,1998,42,17,1900,49,57,42,61
Valerii Bondar,ua UKR,DF,ua Shakhtar,24,1999,5,5,450,29,18,9,41
Valery Fernández,es ESP,MO,Girona,23,1999,27,2,506,68,37,68,67
Valgeir Lunddal Friðriksson,is ISL,DF,se Häcken,21,2001,1,1,90,55,56,55,53
Vanderson,br BRA,DF,Monaco,22,2001,20,20,1641,86,71,82,71
Vangelis Pavlidis,gr GRE,FW,nl AZ Alkmaar,24,1998,6,6,540,76,70,62,48
Vanja Milinković-Savić,rs SRB,GK,Torino,26,1997,36,36,3240,52,48,43,64
Vaná,br BRA,GK,cy Aris Limassol FC,32,1991,6,6,540,52,41,43,81
Varazdat Haroyan,am ARM,DF,kz Astana FK,30,1992,4,2,227,39,64,42,81
Vedat Muriqi,xk KVX,FW,Mallorca,29,1994,29,25,2327,41,57,34,52
Vegard Forren,no NOR,DF,fo KÍ,35,1988,6,6,535,33,54,31,43
Veljko Birmančević,rs SRB,MO,cz Sparta Prague,25,1998,9,8,636,80,48,67,35
Veljko Ilic,rs SRB,GK,rs TSC,20,2003,5,5,450,53,45,43,34
Vesel Limaj,de GER,MO,xk KF Ballkani Therandë,26,1996,3,1,64,41,56,20,52
