Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
br BRA,GK,Criciúma,28,1995,58,38,3682,92,99,97,90
nir NIR,MF,Preston,23,1999,31,24,2069,30,32,28,82
br BRA,DF,Atl Goianiense,24,1999,25,24,2042,46,51,46,69
ng NGA,FW,Houston Dynamo,22,2002,34,33,2650,54,63,79,68
si SVN,GK,NE Revolution,30,1993,25,25,2250,49,44,44,68
rs SRB,MO,Palermo,21,2002,19,5,696,27,32,31,69
ir IRN,FW,Hull City,22,2001,13,4,449,43,55,81,83
br BRA,MF,Flamengo,26,1997,43,21,2074,31,52,37,51
ch SUI,DF,Chicago Fire,25,1998,28,25,2096,68,51,76,48
sct SCO,MF,Millwall,25,1998,12,9,724,45,56,35,60
br BRA,MO,Criciúma,28,1995,24,13,1296,51,67,79,65
ec ECU,FW,ec Barcelona,17,2006,2,1,64,16,13,8,30
br BRA,DF,Cuiabá,33,1990,1,1,90,21,21,10,25
br BRA,DF,Estrela,23,2000,7,5,486,31,39,33,41
ly LBY,MF,Braga,27,1996,11,9,803,75,60,50,67
hr CRO,DF,Vitesse,22,2000,27,23,1891,57,45,43,52
mx MEX,DF,Pachuca,22,2001,4,4,309,59,22,54,43
es ESP,MF,Toronto FC,24,1999,25,20,1530,61,76,49,62
mx MEX,DF,Cruz Azul,30,1993,20,1,449,68,80,90,40
cr CRC,FW,NYCFC,25,1998,26,19,1488,71,52,47,39
mx MEX,MF,Austin,22,2001,2,0,23,20,24,46,20
br BRA,MF,Estrela,27,1996,24,19,1491,34,47,22,65
bo BOL,MF,bo The Strongest,28,1995,5,2,219,58,23,12,44
jm JAM,DF,FC Cincinnati,29,1994,20,10,784,58,46,79,63
br BRA,MO,Grêmio,17,2006,3,0,77,43,51,82,81
mx MEX,MO,Pachuca,20,2002,15,9,767,73,67,61,33
mx MEX,DF,Necaxa,22,2000,32,28,2513,66,51,35,76
fr FRA,MO,Vizela,22,2001,7,0,119,43,20,40,54
gn GUI,MF,Anderlecht,26,1997,11,6,594,28,36,28,63
gn GUI,MO,Eupen,21,2001,24,15,1363,30,43,47,75
no NOR,FW,SJ Earthquakes,33,1990,32,22,1725,54,57,54,63
us USA,MF,Nashville SC,27,1996,17,1,306,54,77,59,68
mx MEX,MO,FC Juárez,30,1992,15,4,541,54,28,6,36
mx MEX,MO,Cruz Azul,17,2005,8,0,54,49,22,79,67
fr FRA,MF,Houston Dynamo,26,1997,31,30,2533,84,91,84,16
fr FRA,FW,Vitesse,22,2000,29,20,1822,54,77,81,55
ma MAR,MF,Rio Ave,30,1992,29,28,2219,39,37,27,43
nl NED,FW,Heerenveen,18,2004,1,0,13,16,14,13,20
it ITA,FW,Südtirol,19,2004,2,0,11,38,12,45,11
nl NED,FW,Ajax,18,2004,3,1,55,20,14,48,32
de GER,MO,Heracles Almelo,25,1997,18,16,1219,39,36,29,62
be BEL,MF,Heerenveen,28,1995,24,13,1161,76,80,66,27
nl NED,DF,Ajax,21,2002,12,2,318,59,95,92,52
ma MAR,MO,Hull City,22,2000,12,9,696,64,46,68,65
gr GRE,FW,Utrecht,23,1999,2,2,180,37,47,66,48
ua UKR,GK,Benfica,21,2001,28,28,2520,45,44,41,78
dk DEN,MO,Anderlecht,25,1998,28,26,2240,84,77,65,32
br BRA,GK,Cruzeiro,25,1998,17,17,1530,45,45,42,53
ve VEN,MF,ve Caracas,22,2001,1,1,45,43,75,62,6
br BRA,DF,Vizela,28,1995,31,29,2667,28,30,28,55
ec ECU,MO,Real Salt Lake,27,1996,33,13,1394,80,47,49,38
ec ECU,DF,bo Bolívar,30,1994,2,1,156,21,20,34,50
pe PER,DF,Atlas,31,1992,19,19,1507,35,55,38,69
ch SUI,MO,Genk,24,1999,20,7,686,75,15,35,33
jm JAM,GK,Philadelphia Union,33,1990,14,14,1112,45,51,41,70
eng ENG,MF,QPR,24,1999,35,30,2597,58,53,33,34
it ITA,MO,Pisa,29,1993,9,5,457,22,57,35,68
it ITA,MF,Cremonese,32,1991,6,3,260,47,56,60,31
it ITA,DF,Südtirol,25,1998,22,14,1360,34,44,60,66
it ITA,DF,Cittadella,20,2003,1,1,45,53,14,62,61
it ITA,MF,Südtirol,24,1998,18,2,383,53,22,84,20
it ITA,DF,Brescia,26,1997,22,22,1950,44,69,64,47
it ITA,DF,Sampdoria,29,1994,1,0,1,21,20,18,3
it ITA,MF,Cittadella,24,1999,12,4,482,35,56,20,47
it ITA,FW,Ternana,26,1997,23,13,1019,35,40,50,61
it ITA,GK,Catanzaro,28,1994,37,37,3330,55,60,65,44
it ITA,MF,Catanzaro,23,2000,21,17,1584,50,54,60,28
it ITA,DF,Südtirol,21,2002,32,31,2649,44,60,36,43
it ITA,FW,FeralpiSalò,32,1991,37,21,1920,52,49,28,47
it ITA,FW,Cittadella,30,1993,30,11,1166,38,24,31,56
it ITA,DF,Südtirol,37,1986,34,34,3016,53,50,50,52
it ITA,DF,Cosenza,26,1997,23,23,2001,39,42,51,67
