Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penaltys Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Maduka Okoye,ng NGA,GK,Udinese,23,1999,21,21,1890,1.19,4.24,3.1,0.24,0.14,0.14,0.0,0.0,1.14,4.71,12.52,13.62,2.14,7.67,17.38,0.33,0.1,0.0,-0.04,73.11,37.62,1.9
Maksym Koval,ua UKR,GK,md Sheriff Tiraspol,30,1992,6,6,540,2.83,6.17,3.67,0.0,0.33,0.33,0.0,0.0,2.43,8.17,25.0,29.17,4.67,8.67,21.0,1.67,0.5,0.0,-0.16,59.48,32.68,7.95
Manuel Neuer,de GER,GK,de Bayern Munich,37,1986,32,32,2863,1.29,3.8,2.48,0.31,0.16,0.13,0.03,0.0,1.25,3.36,7.2,34.39,4.53,4.02,9.71,0.38,1.35,0.03,-0.03,65.26,46.67,3.91
Manuel Riemann,de GER,GK,Bochum,34,1988,33,33,2970,2.12,5.61,3.52,0.12,0.33,0.27,0.06,0.0,1.81,13.03,31.55,45.39,2.7,6.3,15.45,1.06,3.15,0.06,-0.17,62.75,41.3,6.86
Marc Martínez,es ESP,GK,Granada,33,1990,3,3,270,3.67,7.67,4.0,0.0,0.67,0.67,0.0,0.0,4.03,5.67,13.0,24.67,3.0,8.0,10.0,0.0,3.33,0.0,0.09,52.15,43.62,0.0
Marc-André ter Stegen,de GER,GK,Barcelona,31,1992,36,36,3240,1.03,3.69,2.67,0.47,0.08,0.08,0.0,0.0,1.04,3.42,6.67,31.42,4.0,5.42,11.78,0.5,1.22,0.0,0.01,72.36,51.27,4.24
Marcel Schuhen,de GER,GK,Darmstadt 98,30,1993,31,31,2790,2.45,6.39,3.97,0.1,0.06,0.03,0.03,0.0,2.19,7.9,19.94,38.84,5.87,9.32,14.61,0.77,1.65,0.03,-0.12,62.13,39.62,5.27
Marcin Bułka,pl POL,GK,Nice,23,1999,34,34,3060,0.85,3.09,2.18,0.5,0.24,0.15,0.09,0.0,0.9,2.18,5.56,31.94,4.65,4.32,11.06,0.94,0.62,0.09,0.06,70.55,39.21,8.5
Marco Bizot,nl NED,GK,Brest,32,1991,32,32,2876,1.06,4.04,2.94,0.41,0.09,0.06,0.03,0.0,1.13,7.26,15.08,28.41,4.19,5.88,11.95,0.56,1.28,0.03,0.06,72.77,48.14,4.69
Marco Carnesecchi,it ITA,GK,it Atalanta,23,2000,28,28,2508,1.08,3.91,2.76,0.29,0.25,0.14,0.07,0.04,1.1,4.45,12.78,25.66,5.42,7.18,12.45,0.79,1.4,0.11,0.02,70.59,34.82,6.35
Marco Silvestri,it ITA,GK,Udinese,32,1991,17,17,1530,1.65,4.0,2.35,0.24,0.35,0.35,0.0,0.0,1.51,3.35,9.88,20.29,4.0,6.18,16.59,0.29,0.41,0.0,-0.09,58.75,33.91,1.75
Marco Sportiello,it ITA,GK,it Milan,31,1992,9,7,710,1.52,4.44,3.04,0.38,0.13,0.13,0.0,0.0,1.2,2.79,7.1,31.06,5.83,3.04,11.28,0.63,1.14,0.0,-0.27,68.47,39.3,5.59
Mark Flekken,nl NED,GK,Brentford,30,1993,37,37,3285,1.73,4.82,3.1,0.19,0.05,0.05,0.0,0.0,1.52,6.63,17.73,35.29,3.59,7.92,15.56,1.21,1.01,0.0,-0.14,64.32,37.39,7.78
Mark Travers,ie IRL,GK,Bournemouth,24,1999,4,4,360,1.25,4.5,3.25,0.5,0.25,0.25,0.0,0.0,1.25,5.5,18.0,23.0,3.25,6.5,15.0,0.75,0.75,0.0,0.0,72.22,30.56,5.0
Marko Dmitrović,rs SRB,GK,Sevilla,31,1992,17,17,1530,1.94,4.88,3.06,0.12,0.18,0.18,0.0,0.0,1.7,4.53,13.18,24.88,4.71,6.88,12.06,1.0,1.0,0.0,-0.14,62.7,34.37,8.29
Marko Marić,hr CRO,GK,ba Zrinjski Mostar,27,1996,6,6,540,1.67,5.33,3.83,0.0,0.33,0.33,0.0,0.0,1.33,3.5,19.67,24.83,3.5,10.5,21.17,0.67,0.5,0.0,-0.26,71.86,17.79,3.16
Martin Dúbravka,sk SVK,GK,Newcastle Utd,34,1989,24,23,2075,1.91,5.73,3.77,0.22,0.22,0.17,0.04,0.0,1.9,2.56,7.55,22.08,6.42,7.55,13.1,0.87,0.95,0.04,-0.01,65.79,33.91,6.64
Martin Jedlička,cz CZE,GK,cz Viktoria Plzeň,25,1998,4,4,420,0.43,4.93,4.5,0.64,0.0,0.0,0.0,0.0,1.37,11.36,26.14,30.64,3.64,10.5,20.14,1.07,1.71,0.0,0.69,91.28,43.46,5.31
